name,create_date,total_pull_requests,total_releases,last_commit_date,main_language,total_issues,total_stars
{'minio'},{'2015-01-14T19:23:58Z'},{9581},{494},{'2024-08-23T22:43:31Z'},{'Go'},{7360},{46283}
{'novu'},{'2021-08-26T15:22:44Z'},{4009},{36},{'2024-08-23T13:43:59Z'},{'TypeScript'},{1187},{34027}
{'freqtrade'},{'2017-05-17T23:48:53Z'},{5184},{87},{'2024-08-24T16:07:19Z'},{'Python'},{4590},{27782}
{'labelImg'},{'2015-09-17T01:33:59Z'},{149},{2},{'2022-09-22T22:12:32Z'},{'Python'},{364},{22375}
{'slim'},{'2015-09-09T17:39:11Z'},{216},{49},{'2024-08-20T19:31:48Z'},{'Go'},{153},{19145}
{'awesome-production-machine-learning'},{'2018-08-15T14:28:41Z'},{411},{17},{'2024-08-25T03:13:58Z'},{'N/A'},{70},{16983}
{'lila'},{'2012-02-21T19:46:55Z'},{5352},{2},{'2024-08-25T17:10:44Z'},{'Scala'},{8200},{14981}
{'bagisto'},{'2018-09-10T09:12:41Z'},{5104},{48},{'2024-08-20T06:01:26Z'},{'PHP'},{4146},{13828}
{'botpress'},{'2016-11-16T21:57:59Z'},{4414},{126},{'2024-08-23T20:55:45Z'},{'TypeScript'},{39},{12435}
{'Open-Sora-Plan'},{'2024-02-20T14:01:03Z'},{67},{3},{'2024-08-23T03:14:30Z'},{'Python'},{80},{11164}
{'vuestic-admin'},{'2017-07-31T11:52:40Z'},{325},{22},{'2024-08-22T16:57:45Z'},{'Vue'},{538},{10405}
{'open_clip'},{'2021-07-28T23:24:39Z'},{248},{47},{'2024-07-04T19:02:40Z'},{'Python'},{383},{9602}
{'jsonhero-web'},{'2022-03-01T09:33:29Z'},{45},{0},{'2024-08-22T15:32:09Z'},{'TypeScript'},{51},{9154}
{'GDevelop'},{'2014-06-29T19:58:38Z'},{3349},{214},{'2024-08-23T18:30:45Z'},{'JavaScript'},{2424},{8756}
{'Scanners-Box'},{'2016-12-24T16:07:50Z'},{14},{0},{'2024-04-10T06:41:38Z'},{'N/A'},{40},{8169}
{'flowbite'},{'2021-07-28T15:21:50Z'},{133},{48},{'2024-08-12T11:48:14Z'},{'HTML'},{412},{7550}
{'startbootstrap'},{'2013-08-10T00:05:36Z'},{323},{2},{'2020-10-12T20:56:02Z'},{'HTML'},{78},{7188}
{'librephotos'},{'2020-11-11T23:08:19Z'},{460},{0},{'2024-08-24T13:29:20Z'},{'Python'},{585},{6779}
{'JUCE'},{'2012-03-31T11:19:43Z'},{2},{34},{'2024-07-29T11:47:03Z'},{'C++'},{536},{6442}
{'PrivateBin'},{'2016-07-09T07:03:25Z'},{412},{31},{'2024-08-03T11:14:45Z'},{'PHP'},{683},{6241}
{'florisboard'},{'2020-04-08T21:18:23Z'},{389},{88},{'2024-08-23T13:59:55Z'},{'Kotlin'},{1362},{5766}
{'xrdp'},{'2011-04-25T14:31:17Z'},{992},{38},{'2024-08-24T16:23:53Z'},{'C'},{1518},{5560}
{'Cinder'},{'2010-04-21T19:03:10Z'},{994},{2},{'2024-07-30T23:03:06Z'},{'C++'},{616},{5290}
{'themes'},{'2023-06-15T12:21:08Z'},{172},{0},{'2024-08-07T11:12:37Z'},{'TypeScript'},{239},{5071}
{'Messenger'},{'2014-05-20T18:58:14Z'},{0},{0},{'2024-03-21T10:56:53Z'},{'Swift'},{0},{4801}
{'Natron'},{'2018-01-10T10:15:28Z'},{222},{26},{'2024-08-01T07:52:35Z'},{'C++'},{486},{4602}
{'getwidget'},{'2019-12-11T03:45:22Z'},{195},{8},{'2023-08-24T05:48:12Z'},{'Dart'},{115},{4496}
{'TNN'},{'2020-05-29T07:20:28Z'},{859},{1},{'2023-09-27T09:15:24Z'},{'C++'},{649},{4371}
{'mindspore'},{'2020-02-11T08:43:48Z'},{1},{0},{'2024-07-28T23:35:15Z'},{'C++'},{111},{4210}
{'Superalgos'},{'2019-08-12T17:34:43Z'},{3601},{37},{'2024-01-31T18:29:38Z'},{'JavaScript'},{381},{4080}
{'komiser'},{'2018-02-12T19:13:22Z'},{708},{49},{'2024-08-24T22:39:49Z'},{'Go'},{394},{3910}
{'ydb'},{'2022-02-07T14:52:36Z'},{5443},{16},{'2024-08-24T05:15:09Z'},{'C++'},{584},{3764}
{'Luotuo-Chinese-LLM'},{'2023-03-21T02:43:12Z'},{13},{0},{'2023-09-03T06:27:42Z'},{'Jupyter Notebook'},{38},{3626}
{'open-source-alternatives'},{'2023-05-22T08:57:21Z'},{21},{0},{'2024-08-21T09:46:44Z'},{'N/A'},{3},{3524}
{'AdelaiDet'},{'2020-01-23T03:48:55Z'},{67},{0},{'2024-08-23T00:56:57Z'},{'Python'},{247},{3353}
{'startbootstrap-sb-admin'},{'2014-10-25T00:36:38Z'},{41},{0},{'2023-03-25T22:09:39Z'},{'Pug'},{74},{3204}
{'cognita'},{'2023-07-26T13:08:54Z'},{208},{0},{'2024-08-23T19:42:16Z'},{'Python'},{24},{3109}
{'opensource-website'},{'2011-02-23T08:30:49Z'},{26},{0},{'2024-08-19T02:50:51Z'},{'SCSS'},{50},{2985}
{'tensorflow-internals'},{'2018-06-30T02:50:29Z'},{5},{1},{'2019-03-22T23:34:47Z'},{'TeX'},{3},{2892}
{'Ejecta'},{'2012-09-25T13:54:24Z'},{61},{0},{'2021-06-22T17:04:00Z'},{'Objective-C'},{499},{2809}
{'daggerfall-unity'},{'2015-01-06T21:18:36Z'},{2176},{32},{'2024-08-11T00:43:57Z'},{'C#'},{277},{2691}
{'casibase'},{'2020-05-29T02:45:58Z'},{504},{199},{'2024-08-25T08:46:21Z'},{'Go'},{271},{2649}
{'ivy-wallet'},{'2021-11-03T14:20:08Z'},{633},{87},{'2024-08-25T09:27:26Z'},{'Kotlin'},{2564},{2607}
{'willow'},{'2023-03-31T14:05:15Z'},{103},{13},{'2024-02-27T13:25:32Z'},{'C'},{120},{2541}
{'plain-app'},{'2021-10-17T10:03:14Z'},{10},{15},{'2024-08-04T15:23:07Z'},{'Kotlin'},{106},{2459}
{'open-source-jobs'},{'2019-03-21T12:58:36Z'},{15},{0},{'2022-05-30T03:47:20Z'},{'JavaScript'},{13},{2394}
{'CCTV'},{'2024-04-26T08:46:17Z'},{17},{0},{'2024-05-16T13:37:10Z'},{'JavaScript'},{19},{2344}
{'chat-with-gpt'},{'2023-03-06T12:35:57Z'},{45},{0},{'2023-07-15T22:31:53Z'},{'TypeScript'},{55},{2302}
{'pyrobot'},{'2019-02-01T02:28:00Z'},{38},{1},{'2022-03-08T18:09:11Z'},{'Python'},{72},{2221}
{'Surround360'},{'2016-06-20T21:25:29Z'},{4},{0},{'2019-08-30T06:20:51Z'},{'C++'},{194},{2166}
{'Surround360'},{'2016-06-20T21:25:29Z'},{4},{0},{'2019-08-30T06:20:51Z'},{'C++'},{194},{2166}
{'minio'},{'2015-01-14T19:23:58Z'},{9581},{494},{'2024-08-23T22:43:31Z'},{'Go'},{7360},{46283}
{'novu'},{'2021-08-26T15:22:44Z'},{4009},{36},{'2024-08-23T13:43:59Z'},{'TypeScript'},{1187},{34027}
{'freqtrade'},{'2017-05-17T23:48:53Z'},{5184},{87},{'2024-08-24T16:07:19Z'},{'Python'},{4590},{27782}
{'labelImg'},{'2015-09-17T01:33:59Z'},{149},{2},{'2022-09-22T22:12:32Z'},{'Python'},{364},{22375}
