name,create_date,total_pull_requests,total_releases,last_commit_date,main_language,total_issues_closed,total_stars,total_issues_open
'freeCodeCamp',2014,22858,0,'2024-08-24T08:04:35Z','TypeScript',18011,399662,190
'tensorflow',2015,22460,208,'2024-08-25T17:35:12Z','C++',37915,184868,1706
'Microsoft-Activation-Scripts',2020,5,15,'2024-08-12T00:04:06Z','Batchfile',376,92041,4
'HelloGitHub',2016,17,45,'2024-07-26T00:04:41Z','Python',2529,89596,135
'opencv',2012,12293,63,'2024-08-23T14:12:19Z','C++',8222,77621,2470
'rustdesk',2020,3000,20,'2024-08-25T13:29:41Z','Rust',2931,71117,46
'supabase',2019,9487,15,'2024-08-24T14:58:22Z','TypeScript',3455,70810,237
'core',2013,62265,1000,'2024-08-25T16:48:17Z','Python',49213,70588,2230
'netdata',2013,8948,90,'2024-08-25T17:38:39Z','C',7730,70214,533
'gpt4all',2023,730,23,'2024-08-23T16:36:54Z','C++',1288,68729,310
'ui',2023,346,16,'2024-08-21T19:42:03Z','TypeScript',1822,67040,376
'grafana',2013,45477,442,'2024-08-23T22:17:38Z','TypeScript',33022,63453,3935
'hoppscotch',2019,1499,47,'2024-08-22T17:10:21Z','TypeScript',1189,63427,355
'syncthing',2013,2525,378,'2024-08-24T10:45:10Z','Go',5104,63280,688
'strapi',2015,8231,385,'2024-08-23T07:54:53Z','TypeScript',8806,62473,399
'tesseract',2014,1379,32,'2024-08-25T16:57:22Z','C++',2234,60509,531
'obs-studio',2013,4791,208,'2024-08-25T18:37:46Z','C',3464,58417,267
'docusaurus',2017,5161,144,'2024-08-24T14:08:21Z','TypeScript',2807,55036,868
'AppFlowy',2021,2835,81,'2024-08-25T14:06:34Z','Dart',1848,51425,21
'minio',2015,9582,494,'2024-08-25T18:07:13Z','Go',7360,46285,596
'nocodb',2017,3698,147,'2024-08-24T05:58:29Z','TypeScript',2807,44495,53
'first-contributions',2016,73397,0,'2024-08-25T18:52:04Z','N/A',721,44211,590
'x64dbg',2015,687,2,'2024-08-24T18:15:13Z','C++',1875,44182,238
'dify',2023,3110,86,'2024-08-25T10:47:16Z','TypeScript',3070,42832,0
'open-source-ios-apps',2015,1156,37,'2024-08-23T16:20:31Z','N/A',285,41844,416
'localsend',2022,485,21,'2024-08-24T21:02:15Z','Dart',478,40917,47
'open-source-mac-os-apps',2017,522,0,'2023-11-02T23:46:41Z','N/A',154,40868,159
'pocketbase',2022,49,143,'2024-08-12T19:28:23Z','Go',1409,38251,38
'AFFiNE',2022,4608,350,'2024-08-24T12:47:32Z','TypeScript',1945,38113,496
'video.js',2010,1762,319,'2024-08-23T17:50:20Z','JavaScript',4771,37730,75
'tabler',2018,485,42,'2024-08-23T07:21:34Z','HTML',831,37660,327
'lobe-chat',2023,985,824,'2024-08-25T16:20:56Z','TypeScript',1521,37422,165
'styleguide',2015,161,0,'2024-07-16T15:19:54Z','HTML',166,37154,2756
'odoo',2014,6175,0,'2024-08-25T14:23:17Z','Python',14854,36996,140
'freecodecamp.cn',2016,55,0,'2020-01-22T11:01:21Z','CSS',445,36942,3508
'tidb',2015,29338,196,'2024-08-23T15:25:43Z','Go',15277,36800,14
'manifesto',2023,761,0,'2024-07-19T13:35:34Z','HTML',11,36238,92
'quivr',2023,1573,312,'2024-08-25T10:08:40Z','Python',1188,35602,658
'insomnia',2016,2763,460,'2024-08-23T11:38:28Z','JavaScript',2949,34180,277
'novu',2021,4009,36,'2024-08-23T13:43:59Z','TypeScript',1187,34027,2617
'brackets',2011,4332,69,'2021-03-18T13:52:19Z','JavaScript',7066,33266,80
'daisyui',2020,283,41,'2024-08-21T09:45:53Z','Svelte',1489,32856,428
