file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/DetailActivity.java,com.github.ybq.android.loading.DetailActivity$Anonymous1,anonymous,7,7,0,7,5,1,0,12,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,0,0,1,0,5,0,5,0,0,0,0,22,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/StyleFragment.java,com.github.ybq.android.loading.StyleFragment,class,12,14,2,12,3,3,0,7,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,1,1,2,0,2,0,1,1,0,23,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/StyleFragment.java,com.github.ybq.android.loading.StyleFragment$Anonymous1,anonymous,4,4,0,4,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,12,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/DetailActivity.java,com.github.ybq.android.loading.DetailActivity$Anonymous2,anonymous,1,1,0,1,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,1,1,4,1,0,0,0,0,14,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/MainActivity.java,com.github.ybq.android.loading.MainActivity,class,5,5,0,5,1,2,0,6,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,29,0,0,0,0,0,0,0,2,0,2,0,1,0,0,25,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/ArgbEvaluator.java,com.github.ybq.android.loading.ArgbEvaluator,class,2,4,2,2,2,1,0,0,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,19,2,0,0,0,18,0,17,11,21,11,0,0,0,0,87,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/WidgetFragment.java,com.github.ybq.android.loading.WidgetFragment,class,16,18,2,16,5,2,0,15,4,0.4,0.0,0.0,5,1,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,47,2,0,0,0,0,0,15,8,0,8,0,0,0,0,38,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/Colors.java,com.github.ybq.android.loading.Colors,interface,1,4,3,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,8,1,0,1,0,0,0,0,4,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/SquareFrameLayout.java,com.github.ybq.android.loading.SquareFrameLayout,class,4,4,0,4,5,2,0,1,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Android-SpinKit/sample/src/main/java/com/github/ybq/android/loading/StyleFragment.java,com.github.ybq.android.loading.StyleFragment$Holder$Anonymous2,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
