file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/app/src/cc/arduino/contributions/libraries/LibraryTypeComparator.java,cc.arduino.contributions.libraries.LibraryTypeComparator,LibraryTypeComparator/1[java.lang.String[]],true,44,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/app/src/cc/arduino/contributions/libraries/LibraryTypeComparator.java,cc.arduino.contributions.libraries.LibraryTypeComparator,"compare/2[java.lang.String,java.lang.String]",false,49,0,0,0,0,5,3,12,4,0,2,3,0,0,0,0,0,0,0,2,0,1,1,0,0,0,3,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/app/src/cc/arduino/contributions/libraries/LibraryTypeComparator.java,cc.arduino.contributions.libraries.LibraryTypeComparator,LibraryTypeComparator/0,true,40,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/app/src/cc/arduino/contributions/libraries/filters/UpdatableLibraryPredicate.java,cc.arduino.contributions.libraries.filters.UpdatableLibraryPredicate,UpdatableLibraryPredicate/0,true,44,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/app/src/cc/arduino/contributions/libraries/filters/UpdatableLibraryPredicate.java,cc.arduino.contributions.libraries.filters.UpdatableLibraryPredicate,UpdatableLibraryPredicate/1[cc.arduino.contributions.libraries.LibrariesIndexer],true,48,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/app/src/cc/arduino/contributions/libraries/filters/UpdatableLibraryPredicate.java,cc.arduino.contributions.libraries.filters.UpdatableLibraryPredicate,test/1[cc.arduino.contributions.libraries.ContributedLibrary],false,53,3,4,0,4,2,7,9,2,3,1,7,0,0,0,0,0,0,0,0,3,0,1,0,0,0,9,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/arduino-core/src/cc/arduino/filters/FileExecutablePredicate.java,cc.arduino.filters.FileExecutablePredicate,test/1[java.io.File],false,38,0,0,0,0,1,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/arduino-core/src/cc/arduino/contributions/packages/ContributedHelp.java,cc.arduino.contributions.packages.ContributedHelp,getOnline/0,false,35,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/app/test/cc/arduino/i18n/ExternalProcessOutputParserTest.java,cc.arduino.i18n.ExternalProcessOutputParserTest,testParser4/0,false,77,3,4,0,4,1,4,6,0,2,0,4,0,0,0,0,0,0,4,1,2,0,0,0,0,0,11,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Arduino/app/test/cc/arduino/i18n/ExternalProcessOutputParserTest.java,cc.arduino.i18n.ExternalProcessOutputParserTest,testParser1/0,false,41,3,4,0,4,1,4,9,0,2,0,4,0,0,0,0,0,0,7,4,2,0,0,0,0,0,19,1,0,false
