file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/DiscreteScrollViewOptions.java,com.yarolegovich.discretescrollview.sample.DiscreteScrollViewOptions$Anonymous1,onDismiss/1[com.yarolegovich.discretescrollview.sample.DialogInterface],false,45,2,1,0,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/weather/ForecastAdapter.java,com.yarolegovich.discretescrollview.sample.weather.ForecastAdapter$TintOnLoad,"TintOnLoad/2[com.yarolegovich.discretescrollview.sample.weather.ImageView,int]",true,117,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/weather/ForecastAdapter.java,com.yarolegovich.discretescrollview.sample.weather.ForecastAdapter$TintOnLoad,"onResourceReady/5[com.yarolegovich.discretescrollview.sample.weather.Drawable,java.lang.Object,com.yarolegovich.discretescrollview.sample.weather.Target<com.yarolegovich.discretescrollview.sample.weather.Drawable>,com.yarolegovich.discretescrollview.sample.weather.DataSource,boolean]",false,123,3,0,0,0,1,1,4,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/weather/ForecastAdapter.java,com.yarolegovich.discretescrollview.sample.weather.ForecastAdapter$TintOnLoad,"onLoadFailed/4[com.yarolegovich.discretescrollview.sample.weather.GlideException,java.lang.Object,com.yarolegovich.discretescrollview.sample.weather.Target<com.yarolegovich.discretescrollview.sample.weather.Drawable>,boolean]",false,129,3,0,0,0,1,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/DiscreteScrollViewOptions.java,com.yarolegovich.discretescrollview.sample.DiscreteScrollViewOptions$Anonymous3,onMenuItemClick/1[com.yarolegovich.discretescrollview.sample.MenuItem],false,73,2,0,0,0,2,5,8,1,1,1,5,0,0,0,0,0,1,0,1,2,1,1,0,0,0,11,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/DiscreteScrollViewOptions.java,com.yarolegovich.discretescrollview.sample.DiscreteScrollViewOptions$Anonymous2,onClick/1[com.yarolegovich.discretescrollview.sample.View],false,53,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/shop/ShopActivity.java,com.yarolegovich.discretescrollview.sample.shop.ShopActivity,onCreate/1[com.yarolegovich.discretescrollview.sample.shop.Bundle],false,39,7,5,0,5,1,17,23,0,0,1,17,1,2,0,0,0,0,0,2,7,0,0,0,0,0,26,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/shop/ShopActivity.java,com.yarolegovich.discretescrollview.sample.shop.ShopActivity,onItemChanged/1[com.yarolegovich.discretescrollview.sample.shop.Item],false,94,2,5,2,3,1,4,5,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/shop/ShopActivity.java,com.yarolegovich.discretescrollview.sample.shop.ShopActivity,"onCurrentItemChanged/2[com.yarolegovich.discretescrollview.sample.shop.ShopAdapter.ViewHolder,int]",false,111,3,1,0,1,1,3,4,0,1,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/DiscreteScrollView/sample/src/main/java/com/yarolegovich/discretescrollview/sample/shop/ShopActivity.java,com.yarolegovich.discretescrollview.sample.shop.ShopActivity,changeRateButtonState/1[com.yarolegovich.discretescrollview.sample.shop.Item],false,100,2,4,2,2,2,5,10,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,false
