file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/extensions/cast/src/main/java/com/google/android/exoplayer2/ext/cast/SessionAvailabilityListener.java,com.google.android.exoplayer2.ext.cast.SessionAvailabilityListener,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/extensions/flac/src/main/java/com/google/android/exoplayer2/ext/flac/FlacLibrary.java,com.google.android.exoplayer2.ext.flac.FlacLibrary$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DecoderCountersUtil.java,com.google.android.exoplayer2.testutil.DecoderCountersUtil,class,2,4,2,2,8,1,0,8,28,0.0,0.0,0.0,8,7,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,37,1,0,0,0,0,7,1,6,3,6,0,0,0,0,60,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelector.java,com.google.android.exoplayer2.testutil.FakeTrackSelector$FakeTrackSelectionFactory,innerclass,10,10,0,10,8,1,0,4,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,30,3,2,1,0,0,0,1,7,0,6,3,0,0,0,22,10,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/extensions/cast/src/main/java/com/google/android/exoplayer2/ext/cast/DefaultMediaItemConverter.java,com.google.android.exoplayer2.ext.cast.DefaultMediaItemConverter,class,11,16,5,11,43,1,0,53,16,0.75,0.0,0.0,8,6,2,6,0,0,2,0,0,0,10,10,0,10,0,0,10,0,7,172,9,1,16,2,0,17,1,32,0,31,2,0,0,0,89,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/test/java/com/google/android/exoplayer2/testutil/FakeClockTest.java,com.google.android.exoplayer2.testutil.FakeClockTest$TestRunnable,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,26,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/playbacktests/src/androidTest/java/com/google/android/exoplayer2/playbacktests/gts/DashTestData.java,com.google.android.exoplayer2.playbacktests.gts.DashTestData,class,1,4,3,1,9,1,0,1,3,0.9827587,NaN,NaN,3,2,1,2,0,0,1,0,0,0,58,58,52,6,0,0,58,0,1,73,3,0,0,0,1,46,4,58,17,58,1,0,0,0,64,16,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/extensions/mediasession/src/main/java/com/google/android/exoplayer2/ext/mediasession/MediaSessionConnector.java,com.google.android.exoplayer2.ext.mediasession.MediaSessionConnector$MediaButtonEventHandler,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/Action.java,com.google.android.exoplayer2.testutil.Action$SetRendererDisabled,innerclass,6,6,0,6,2,2,0,3,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,2,0,0,12,0,0,0,0,0,2,1,2,1,2,0,0,0,0,36,25,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/ActionSchedule.java,com.google.android.exoplayer2.testutil.ActionSchedule$ActionNode$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/playbacktests/src/androidTest/java/com/google/android/exoplayer2/playbacktests/gts/CommonEncryptionDrmTest.java,com.google.android.exoplayer2.playbacktests.gts.CommonEncryptionDrmTest,class,12,12,0,12,5,1,0,15,0,0.625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,4,1,5,0,0,4,0,1,22,0,0,0,0,0,6,9,7,0,6,0,0,0,0,52,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/playbacktests/src/androidTest/java/com/google/android/exoplayer2/playbacktests/gts/DashTestRunner.java,com.google.android.exoplayer2.playbacktests.gts.DashTestRunner,class,15,21,6,15,19,3,0,11,65,0.91142863,0.0,0.0,14,2,12,2,0,0,12,0,0,0,25,12,0,23,0,2,14,0,3,265,14,0,1,1,0,6,12,29,1,29,3,0,3,0,117,16,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeSampleStream.java,com.google.android.exoplayer2.testutil.FakeSampleStream,class,15,17,2,15,30,1,0,25,0,0.72448975,0.0,0.0,14,0,13,1,0,0,13,0,0,0,7,0,0,7,0,0,3,0,1,131,6,1,8,0,2,0,6,18,0,14,3,0,2,0,168,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java,com.google.android.exoplayer2.testutil.truth.SpannedSubject$SpanFlagsSubject,innerclass,6,6,0,6,3,2,0,4,0,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,1,0,1,0,1,0,0,0,0,10,26,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/extensions/opus/src/test/java/com/google/android/exoplayer2/ext/opus/DefaultRenderersFactoryTest.java,com.google.android.exoplayer2.ext.opus.DefaultRenderersFactoryTest,class,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeExtractorInput.java,com.google.android.exoplayer2.testutil.FakeExtractorInput$SimulatedIOException,innerclass,0,0,0,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeClock.java,com.google.android.exoplayer2.testutil.FakeClock,class,11,16,5,11,44,1,0,25,89,0.80921054,0.0,0.0,19,1,11,7,1,0,12,0,0,13,8,1,0,8,0,0,5,0,1,246,13,4,8,0,1,6,12,28,5,21,2,0,2,0,151,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/ActionSchedule.java,com.google.android.exoplayer2.testutil.ActionSchedule$PlayerRunnable,innerclass,3,3,0,3,3,1,0,2,0,0.0,0.0,0.0,3,0,2,0,0,1,3,1,1,0,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,22,1033,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeClock.java,com.google.android.exoplayer2.testutil.FakeClock$ClockHandler,innerclass,9,9,0,9,17,1,0,11,134,0.91176474,0.0,0.0,17,0,16,1,0,0,16,0,0,0,2,0,2,0,0,0,2,0,0,61,13,0,0,0,0,0,8,3,2,3,0,0,0,0,49,18,0
