file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/extensions/cast/src/main/java/com/google/android/exoplayer2/ext/cast/SessionAvailabilityListener.java,com.google.android.exoplayer2.ext.cast.SessionAvailabilityListener,onCastSessionUnavailable/0,false,32,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/extensions/cast/src/main/java/com/google/android/exoplayer2/ext/cast/SessionAvailabilityListener.java,com.google.android.exoplayer2.ext.cast.SessionAvailabilityListener,onCastSessionAvailable/0,false,29,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/extensions/flac/src/main/java/com/google/android/exoplayer2/ext/flac/FlacLibrary.java,com.google.android.exoplayer2.ext.flac.FlacLibrary$Anonymous1,loadLibrary/1[java.lang.String],false,39,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DecoderCountersUtil.java,com.google.android.exoplayer2.testutil.DecoderCountersUtil,getTotalBufferCount/1[com.google.android.exoplayer2.testutil.DecoderCounters],false,33,1,2,2,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,9,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DecoderCountersUtil.java,com.google.android.exoplayer2.testutil.DecoderCountersUtil,"assertDroppedBufferLimit/3[java.lang.String,com.google.android.exoplayer2.testutil.DecoderCounters,int]",false,77,1,1,1,0,1,4,5,0,1,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DecoderCountersUtil.java,com.google.android.exoplayer2.testutil.DecoderCountersUtil,"assertVideoFrameProcessingOffsetSampleCount/4[java.lang.String,com.google.android.exoplayer2.testutil.DecoderCounters,int,int]",false,98,1,0,0,0,1,4,5,0,1,4,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,14,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DecoderCountersUtil.java,com.google.android.exoplayer2.testutil.DecoderCountersUtil,"assertTotalBufferCount/4[java.lang.String,com.google.android.exoplayer2.testutil.DecoderCounters,int,int]",false,67,2,2,1,1,1,5,5,0,1,4,5,1,1,0,0,0,0,2,0,1,0,0,0,0,0,15,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DecoderCountersUtil.java,com.google.android.exoplayer2.testutil.DecoderCountersUtil,"assertSkippedOutputBufferCount/3[java.lang.String,com.google.android.exoplayer2.testutil.DecoderCounters,int]",false,42,1,1,1,0,1,4,5,0,1,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DecoderCountersUtil.java,com.google.android.exoplayer2.testutil.DecoderCountersUtil,DecoderCountersUtil/0,true,25,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DecoderCountersUtil.java,com.google.android.exoplayer2.testutil.DecoderCountersUtil,"assertTotalBufferCount/2[java.lang.String,com.google.android.exoplayer2.testutil.DecoderCounters]",false,52,2,2,1,1,1,1,4,0,1,2,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,17,9,0,true
