file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,initGame/0,false,54,1,2,0,2,1,4,5,0,0,0,4,2,1,0,0,0,0,0,9,3,13,0,0,0,0,24,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,resetBall/0,false,126,1,1,1,0,1,4,4,0,0,0,4,0,0,0,0,0,0,1,4,0,6,0,0,0,0,15,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,onUpdate/1[double],false,74,2,1,0,1,11,12,26,0,1,1,12,1,1,0,2,0,0,7,5,1,1,1,0,0,0,21,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,initInput/0,false,40,0,0,0,0,1,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,"initGameVars/1[java.util.Map<java.lang.String,java.lang.Object>]",false,48,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,main/1[java.lang.String[]],false,131,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,"spawnBat/2[double,double]",false,111,2,1,1,0,1,4,3,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,"spawnBall/2[double,double]",false,118,3,1,1,0,1,5,3,1,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,initUI/0,false,62,1,0,0,0,1,8,8,0,2,0,8,0,0,0,0,0,0,4,6,2,1,0,0,0,0,13,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/tutorial/PongApp.java,tutorial.PongApp,initSettings/1[tutorial.GameSettings],false,35,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/sandbox/particles/MotionBlurSample.java,sandbox.particles.MotionBlurSample,main/1[java.lang.String[]],false,125,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/sandbox/particles/MotionBlurSample.java,sandbox.particles.MotionBlurSample,initGame/0,false,34,2,1,0,1,7,12,28,0,4,0,12,0,0,1,5,0,0,7,19,9,7,2,0,0,0,21,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/sandbox/particles/MotionBlurSample.java,sandbox.particles.MotionBlurSample,initSettings/1[sandbox.particles.GameSettings],false,29,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/sandbox/SoftwareCursorSample.java,sandbox.SoftwareCursorSample,initGame/0,false,38,1,4,0,4,1,8,7,0,0,0,8,0,0,0,0,0,0,0,2,1,2,0,0,0,0,7,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/sandbox/SoftwareCursorSample.java,sandbox.SoftwareCursorSample,main/1[java.lang.String[]],false,51,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/sandbox/SoftwareCursorSample.java,sandbox.SoftwareCursorSample,initSettings/1[sandbox.GameSettings],false,27,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/sandbox/SoftwareCursorSample.java,sandbox.SoftwareCursorSample,initInput/0,false,30,0,0,0,0,1,3,6,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/advanced/InputCaptureSample.java,advanced.InputCaptureSample,initInput/0,false,27,0,0,0,0,1,6,26,0,0,0,6,0,0,0,0,0,0,3,0,1,0,1,0,0,6,7,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/advanced/InputCaptureSample.java,advanced.InputCaptureSample,main/1[java.lang.String[]],false,57,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/advanced/InputCaptureSample.java,advanced.InputCaptureSample,initSettings/1[advanced.GameSettings],false,22,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/sandbox/test3d/snake/SnakeFactory.java,sandbox.test3d.snake.SnakeFactory,newFood/1[sandbox.test3d.snake.SpawnData],false,28,6,0,0,0,1,8,5,1,1,1,8,0,0,0,0,0,0,1,6,1,0,0,0,0,0,13,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/FXGL/fxgl-samples/src/main/java/sandbox/test3d/snake/SnakeFactory.java,sandbox.test3d.snake.SnakeFactory,newPlayer/1[sandbox.test3d.snake.SpawnData],false,41,7,1,0,1,1,9,5,1,1,1,9,0,0,0,0,0,0,1,6,1,0,0,0,0,0,15,1,0,false
