file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/main/java/com/thealgorithms/maths/FibonacciNumberCheck.java,com.thealgorithms.maths.FibonacciNumberCheck,class,1,2,1,1,4,1,0,2,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,13,2,0,1,0,0,0,4,3,5,3,0,0,0,0,37,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/test/java/com/thealgorithms/maths/FFTTest.java,com.thealgorithms.maths.FFTTest,class,3,3,0,3,12,1,0,13,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,0,0,66,40,0,39,0,0,0,0,36,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/main/java/com/thealgorithms/scheduling/FCFSScheduling.java,com.thealgorithms.scheduling.FCFSScheduling,class,2,3,1,2,7,1,0,8,0,0.25,0.0,0.0,4,0,1,2,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,29,1,2,1,0,0,0,5,7,2,5,1,0,0,0,33,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/test/java/com/thealgorithms/sorts/CircleSortTest.java,com.thealgorithms.sorts.CircleSortTest,class,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/main/java/com/thealgorithms/sorts/IntrospectiveSort.java,com.thealgorithms.sorts.IntrospectiveSort,class,4,6,2,4,22,1,0,9,15,0.8333333,NaN,NaN,6,5,1,5,0,0,1,0,0,0,1,1,0,1,0,0,1,0,16,73,4,6,3,0,4,0,31,21,33,16,2,0,0,0,72,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/test/java/com/thealgorithms/others/CRC16Test.java,com.thealgorithms.others.CRC16Test,class,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,2,0,2,0,0,0,0,10,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/main/java/com/thealgorithms/strings/Lower.java,com.thealgorithms.strings.Lower,class,2,3,1,2,7,1,0,7,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,19,1,2,0,0,0,4,1,4,0,3,2,0,0,0,22,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/main/java/com/thealgorithms/ciphers/AESEncryption.java,com.thealgorithms.ciphers.AESEncryption,class,3,4,1,3,7,1,0,16,7,0.5833334,0.0,0.0,6,5,5,1,0,0,5,0,0,0,2,2,0,2,0,0,1,0,8,42,4,1,0,0,0,9,10,15,9,13,1,0,0,0,124,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/main/java/com/thealgorithms/scheduling/SJFScheduling.java,com.thealgorithms.scheduling.SJFScheduling,class,2,3,1,2,16,1,0,12,0,0.375,0.0,0.0,4,0,1,1,1,1,3,0,0,0,2,0,0,0,2,0,0,0,0,74,3,6,2,0,0,0,14,21,5,19,3,0,0,0,82,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Java/src/test/java/com/thealgorithms/maths/MinValueTest.java,com.thealgorithms.maths.MinValueTest,class,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,1,0
