file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-ui/src/main/java/software/coley/recaf/ui/pane/LoggingPane.java,software.coley.recaf.ui.pane.LoggingPane,class,14,15,1,14,5,5,0,23,0,0.44444445,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,108,0,0,0,1,0,6,3,6,3,6,4,0,3,2,42,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-core/src/main/java/software/coley/recaf/util/StringDiff.java,software.coley.recaf.util.StringDiff,class,9,12,3,9,14,1,0,19,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,101,3,1,3,0,0,0,15,37,4,23,3,0,2,0,70,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-core/src/main/java/software/coley/recaf/services/search/query/ReferenceQuery.java,software.coley.recaf.services.search.query.ReferenceQuery,class,12,16,4,12,23,5,0,7,16,0.5625,0.0,0.0,8,3,3,5,0,0,3,0,0,0,4,0,0,4,0,0,4,0,0,295,11,0,10,0,0,0,1,8,0,7,2,0,4,1,58,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-core/src/main/java/software/coley/recaf/workspace/model/resource/AgentServerRemoteVmResource.java,software.coley.recaf.workspace.model.resource.AgentServerRemoteVmResource,class,27,29,2,27,26,5,0,40,17,0.7375,0.0,0.0,10,0,7,2,1,0,8,0,0,0,8,1,0,8,0,0,7,0,3,160,7,3,5,3,0,11,0,25,1,32,7,0,1,7,129,1,6
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-ui/src/main/java/software/coley/recaf/services/cell/text/TextProviderServiceConfig.java,software.coley.recaf.services.cell.text.TextProviderServiceConfig,class,4,5,1,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-ui/src/main/java/software/coley/recaf/services/cell/context/BasicPackageContextMenuProviderFactory.java,software.coley.recaf.services.cell.context.BasicPackageContextMenuProviderFactory,class,21,21,0,21,4,2,0,19,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,11,0,9,2,9,3,0,0,4,42,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-core/src/main/java/software/coley/recaf/services/workspace/BasicWorkspaceManager.java,software.coley.recaf.services.workspace.BasicWorkspaceManager,class,16,17,1,16,20,1,0,17,90,0.8319327,0.0,0.0,17,0,17,0,0,0,17,0,0,0,7,1,0,7,0,0,6,0,2,77,8,0,3,0,0,2,0,8,0,14,1,1,0,4,47,1,2
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-core/src/main/java/software/coley/recaf/services/mapping/aggregate/AggregatedMappings.java,software.coley.recaf.services.mapping.aggregate.AggregatedMappings$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,1,0,1,1,0,0,0,7,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-core/src/main/java/software/coley/recaf/config/BasicConfigValue.java,software.coley.recaf.config.BasicConfigValue,class,5,6,1,5,13,1,0,5,0,0.5277778,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,4,0,0,42,10,0,3,0,0,3,1,7,4,6,1,0,0,0,31,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/Recaf/recaf-ui/src/main/java/software/coley/recaf/services/navigation/FileNavigable.java,software.coley.recaf.services.navigation.FileNavigable,interface,3,9,6,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
