file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/forcetech/src/main/java/com/forcetech/service/P2PService.java,com.forcetech.service.P2PService,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/app/src/leanback/java/com/fongmi/android/tv/ui/adapter/KeyboardAdapter.java,com.fongmi.android.tv.ui.adapter.KeyboardAdapter$OnClickListener,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/app/src/main/java/com/fongmi/android/tv/utils/IDMUtil.java,com.fongmi.android.tv.utils.IDMUtil$AppState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/ijkplayer/src/main/java/tv/danmaku/ijk/media/player/IjkMediaPlayer.java,tv.danmaku.ijk.media.player.IjkMediaPlayer,class,25,28,3,25,159,3,0,86,6270,0.9923824,0.0,0.0,113,12,75,37,1,0,76,0,0,0,79,62,49,30,0,0,61,0,10,598,48,3,19,2,3,18,101,100,2,101,2,1,5,0,497,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/youtube/src/main/java/com/github/kiulian/downloader/cipher/JsFunction.java,com.github.kiulian.downloader.cipher.JsFunction,class,0,2,2,0,4,1,0,0,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,9,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/app/src/mobile/java/com/fongmi/android/tv/ui/dialog/SiteDialog.java,com.fongmi.android.tv.ui.dialog.SiteDialog,class,12,28,8,20,25,1,0,45,0,0.6666666,0.0,0.0,18,2,13,5,0,0,13,0,0,0,4,0,0,4,0,0,1,0,0,101,10,2,3,0,0,0,7,8,0,11,2,1,0,3,46,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/youtube/src/main/java/com/github/kiulian/downloader/downloader/request/RequestRaw.java,com.github.kiulian.downloader.downloader.request.RequestRaw,class,3,5,2,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/app/src/main/java/com/fongmi/android/tv/bean/Device.java,com.fongmi.android.tv.bean.Device,class,15,25,10,15,32,1,0,32,243,0.9130435,0.0,0.0,23,5,23,0,0,0,23,0,0,0,5,0,0,5,0,0,0,0,10,98,19,0,4,0,1,10,4,8,0,8,1,0,1,0,43,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/app/src/leanback/java/com/fongmi/android/tv/ui/presenter/FuncPresenter.java,com.fongmi.android.tv.ui.presenter.FuncPresenter,class,9,11,2,9,15,4,0,19,9,0.5,0.0,0.0,6,0,4,2,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,53,2,0,1,0,0,0,7,5,0,7,2,0,3,2,23,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/TV/app/src/main/java/com/fongmi/android/tv/utils/QRCode.java,com.fongmi.android.tv.utils.QRCode,class,7,12,5,7,6,1,0,9,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,3,29,3,2,0,1,0,1,7,11,3,10,2,0,0,0,38,1,0
