file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/sample/src/main/java/com/readystatesoftware/chuck/sample/MainActivity.java,com.readystatesoftware.chuck.sample.MainActivity,class,14,17,3,14,4,2,0,36,6,0.0,NaN,NaN,4,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,62,1,0,0,0,0,9,15,2,0,2,0,3,0,0,31,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/library-no-op/src/main/java/com/readystatesoftware/chuck/Chuck.java,com.readystatesoftware.chuck.Chuck,class,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/sample/src/main/java/com/readystatesoftware/chuck/sample/MainActivity.java,com.readystatesoftware.chuck.sample.MainActivity$Anonymous3,anonymous,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/sample/src/main/java/com/readystatesoftware/chuck/sample/SampleApiService.java,com.readystatesoftware.chuck.sample.SampleApiService$HttpbinApi,interface,11,11,0,11,24,1,0,0,276,0.0,0.0,0.0,24,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,42,0,0,0,0,0,0,0,0,47,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/library-no-op/src/main/java/com/readystatesoftware/chuck/ChuckInterceptor.java,com.readystatesoftware.chuck.ChuckInterceptor$Period,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/sample/src/main/java/com/readystatesoftware/chuck/sample/MainActivity.java,com.readystatesoftware.chuck.sample.MainActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/sample/src/main/java/com/readystatesoftware/chuck/sample/MainActivity.java,com.readystatesoftware.chuck.sample.MainActivity$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/library-no-op/src/main/java/com/readystatesoftware/chuck/ChuckInterceptor.java,com.readystatesoftware.chuck.ChuckInterceptor,class,7,9,2,7,5,1,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,1,0,1,0,0,1,0,30,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/sample/src/main/java/com/readystatesoftware/chuck/sample/SampleApiService.java,com.readystatesoftware.chuck.sample.SampleApiService$Data,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,8,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/chuck/sample/src/main/java/com/readystatesoftware/chuck/sample/SampleApiService.java,com.readystatesoftware.chuck.sample.SampleApiService,class,3,4,1,3,1,1,0,5,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,1,0,1,0,1,0,0,2,0,12,0,0
