file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-jobs/pe-consumer/src/main/java/com/datahub/event/PlatformEventProcessor.java,com.datahub.event.PlatformEventProcessor,class,16,16,0,16,5,1,0,33,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,3,45,1,1,0,3,0,23,0,7,4,8,3,0,0,1,43,1,11
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/mlmodel/mappers/MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,class,32,33,1,32,11,1,0,40,21,0.85714287,0.0,0.0,7,6,2,5,0,0,2,0,0,0,1,1,1,0,0,0,1,0,6,67,3,0,2,0,2,0,0,14,0,32,1,0,0,9,74,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/resolvers/type/ResultsTypeResolver.java,com.linkedin.datahub.graphql.resolvers.type.ResultsTypeResolver,class,4,4,0,4,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,11,1,0,0,0,0,2,0,1,1,1,1,0,0,0,29,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/common/mappers/InstitutionalMemoryUpdateMapper.java,com.linkedin.datahub.graphql.types.common.mappers.InstitutionalMemoryUpdateMapper,class,8,9,1,8,2,1,0,7,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,11,2,0,0,0,0,0,0,2,0,3,0,0,0,1,20,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-io/src/main/java/com/linkedin/metadata/timeline/data/entity/TagChangeEvent.java,com.linkedin.metadata.timeline.data.entity.TagChangeEvent,class,11,11,0,11,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/resolvers/mutate/MoveDomainResolver.java,com.linkedin.datahub.graphql.resolvers.mutate.MoveDomainResolver,class,15,15,0,15,11,1,0,25,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,1,47,2,0,3,1,0,10,0,6,0,8,4,0,0,1,56,1,1
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-utils/src/main/java/com/linkedin/metadata/utils/FormUtils.java,com.linkedin.metadata.utils.FormUtils,class,3,3,0,3,8,1,0,12,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,3,0,2,0,0,0,2,4,0,5,2,0,0,1,16,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/resolvers/type/HyperParameterValueTypeResolver.java,com.linkedin.datahub.graphql.resolvers.type.HyperParameterValueTypeResolver,class,7,7,0,7,5,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,4,4,0,0,0,4,0,0,23,4,0,0,0,0,5,0,4,1,4,1,0,0,0,37,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-frontend/app/controllers/SsoCallbackController.java,controllers.SsoCallbackController$SsoCallbackLogic,innerclass,12,12,0,12,3,1,0,4,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,1,0,1,0,1,1,0,0,0,39,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-integration/java/datahub-event/src/main/java/datahub/event/MetadataChangeProposalWrapper.java,datahub.event.MetadataChangeProposalWrapper$Build,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-integration/java/datahub-client/src/main/java/datahub/client/rest/RestEmitterConfig.java,datahub.client.rest.RestEmitterConfig,class,7,9,2,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,13,4,4,0,0,9,4,0,0,37,0,0,0,0,0,2,4,11,0,13,0,0,1,0,47,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-frontend/app/client/AuthServiceClient.java,client.AuthServiceClient,class,12,19,7,12,45,1,0,31,15,0.76818174,0.0,0.0,10,0,6,4,0,0,6,0,0,0,22,17,0,22,0,0,22,0,29,259,8,0,16,14,0,68,0,68,0,63,3,0,0,0,133,1,8
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-graphql-core/src/test/java/com/linkedin/datahub/graphql/resolvers/role/AcceptRoleResolverTest.java,com.linkedin.datahub.graphql.resolvers.role.AcceptRoleResolverTest,class,11,11,0,11,5,1,0,24,0,0.38181818,0.0,0.0,5,0,5,0,0,0,5,0,0,0,11,4,0,11,0,0,4,0,0,69,0,0,0,0,0,7,2,20,0,20,0,0,0,2,65,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-integration/java/datahub-client/src/test/java/datahub/client/rest/RestEmitterTest.java,datahub.client.rest.RestEmitterTest,class,22,23,1,22,27,1,0,91,91,0.0,0.0,0.0,14,0,13,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,33,251,5,4,0,9,6,119,27,105,27,121,3,1,0,19,120,1,1
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-io/src/main/java/com/linkedin/metadata/timeline/eventgenerator/EntityChangeEventGenerator.java,com.linkedin.metadata.timeline.eventgenerator.EntityChangeEventGenerator,class,10,30,20,10,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1025,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-upgrade/src/main/java/com/linkedin/datahub/upgrade/common/steps/ClearSearchServiceStep.java,com.linkedin.datahub.upgrade.common.steps.ClearSearchServiceStep,class,7,10,3,7,8,1,0,8,6,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,37,8,0,0,1,0,3,1,2,0,3,2,0,0,1,30,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-service/factories/src/main/java/com/linkedin/gms/factory/auth/SystemAuthenticationFactory.java,com.linkedin.gms.factory.auth.SystemAuthenticationFactory,class,9,11,2,9,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,1,8,1,0,0,0,0,5,0,1,0,3,0,0,0,0,24,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-service/restli-client/src/main/java/com/linkedin/BatchGetUtils.java,com.linkedin.BatchGetUtils,class,11,11,0,11,3,1,0,22,0,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,3,16,1,1,0,0,0,0,2,6,1,9,1,0,0,3,29,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-service/war/src/main/java/com/linkedin/gms/servlet/SchemaRegistryServletConfig.java,com.linkedin.gms.servlet.SchemaRegistryServletConfig,class,3,4,1,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/metadata-io/src/main/java/com/linkedin/metadata/timeline/eventgenerator/SchemaMetadataChangeEventGenerator.java,com.linkedin.metadata.timeline.eventgenerator.SchemaMetadataChangeEventGenerator,class,17,21,4,17,79,2,0,95,202,0.92857146,0.0,0.0,21,19,2,19,0,0,2,0,0,0,6,6,0,6,0,0,6,0,39,248,29,4,31,3,7,29,6,59,7,65,2,0,0,8,136,1,2
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-graphql-core/src/test/java/com/linkedin/datahub/graphql/resolvers/post/DeletePostResolverTest.java,com.linkedin.datahub.graphql.resolvers.post.DeletePostResolverTest,class,9,9,0,9,3,1,0,16,0,0.26666668,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,1,0,5,0,0,1,0,2,27,0,0,0,0,0,2,0,8,0,8,0,0,0,1,45,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/resolvers/assertion/EntityAssertionsResolver.java,com.linkedin.datahub.graphql.resolvers.assertion.EntityAssertionsResolver,class,18,18,0,18,6,1,0,31,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,3,1,0,3,0,0,3,0,1,47,4,1,0,2,1,7,2,14,0,16,3,0,0,3,76,1,1
