file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/test/java/org/nlpcn/es4sql/MultiQueryTests.java,org.nlpcn.es4sql.MultiQueryTests,class,9,11,2,9,33,1,0,27,345,0.76666665,0.0,0.0,30,0,23,7,0,0,23,0,0,0,2,2,0,2,0,0,0,0,14,165,1,3,0,0,0,102,26,40,16,40,1,0,0,0,106,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/join/ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,class,12,14,2,12,21,3,0,27,28,0.0,0.0,0.0,8,0,1,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,78,6,5,4,0,3,4,0,15,1,12,4,0,0,0,65,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/SearchDao.java,org.nlpcn.es4sql.SearchDao,class,3,16,13,3,4,1,0,2,0,0.5,0.0,0.0,3,0,3,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,1,19,2,0,0,0,0,4,0,3,0,2,0,0,0,0,37,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/maker/QueryMaker.java,org.nlpcn.es4sql.query.maker.QueryMaker,class,10,18,8,10,24,2,0,31,10,0.0,0.0,0.0,5,2,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,78,5,2,9,1,2,2,1,11,1,7,4,0,0,0,37,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/domain/Condition.java,org.nlpcn.es4sql.domain.Condition,class,9,21,12,9,74,2,0,16,216,0.8189655,0.0,0.0,29,0,29,0,0,0,29,0,0,0,12,0,0,12,0,0,0,0,1,322,23,0,6,1,0,58,0,87,8,18,2,0,1,0,69,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/parse/SqlParser.java,org.nlpcn.es4sql.parse.SqlParser,class,43,52,9,43,102,1,0,126,406,0.0,0.0,0.0,29,0,6,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,367,33,17,22,0,17,25,9,91,10,82,4,0,0,0,170,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/spatial/CellFilterParams.java,org.nlpcn.es4sql.spatial.CellFilterParams,class,1,2,1,1,5,1,0,0,0,0.46666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,22,3,0,0,0,0,0,0,3,0,3,0,0,0,0,16,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/parse/SQLOdbcExpr.java,org.nlpcn.es4sql.parse.SQLOdbcExpr,class,2,3,1,2,7,2,0,9,10,1.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,1,1,0,1,0,0,1,0,0,29,1,0,2,0,2,7,2,2,0,2,1,0,0,0,32,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/spatial/SpatialParamsFactory.java,org.nlpcn.es4sql.spatial.SpatialParamsFactory,class,7,8,1,7,19,1,0,10,1,0.5,0.0,0.0,2,2,2,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,15,64,8,1,6,0,1,19,32,23,6,17,2,0,0,0,60,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/parse/CastParser.java,org.nlpcn.es4sql.parse.CastParser$DataType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/domain/Order.java,org.nlpcn.es4sql.domain.Order,class,1,5,4,1,17,1,0,0,108,0.86029404,0.0,0.0,17,0,17,0,0,0,17,0,0,0,8,0,0,8,0,0,0,0,0,63,8,0,0,0,0,0,0,11,0,8,0,0,0,0,23,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/domain/MethodField.java,org.nlpcn.es4sql.domain.MethodField,class,5,14,9,5,23,2,0,14,33,0.6363636,0.0,0.0,11,0,11,0,0,0,11,0,0,0,2,0,0,2,0,0,0,0,2,67,14,1,4,0,2,16,1,12,2,10,2,0,0,0,29,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/parse/FieldMaker.java,org.nlpcn.es4sql.parse.FieldMaker,class,28,31,3,28,104,1,0,80,66,0.0,0.0,0.0,12,12,3,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,365,27,6,16,1,5,74,21,96,14,75,6,0,0,0,117,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/exception/SqlParseException.java,org.nlpcn.es4sql.exception.SqlParseException,class,0,21,21,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/test/java/org/nlpcn/es4sql/MainTestSuite.java,org.nlpcn.es4sql.MainTestSuite,class,40,53,13,40,27,1,0,80,0,0.5952381,0.0,0.0,21,21,10,11,0,0,10,0,0,0,2,2,0,2,0,0,0,0,51,168,7,0,3,0,0,189,5,29,12,30,2,0,0,3,146,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/domain/JoinSelect.java,org.nlpcn.es4sql.domain.JoinSelect,class,5,12,7,5,13,1,0,0,60,0.8461538,0.0,0.0,13,0,13,0,0,0,13,0,0,0,8,1,1,7,0,0,0,0,0,51,7,0,0,0,0,0,1,9,0,8,0,0,0,0,38,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/parse/ElasticSqlStatementParser.java,org.nlpcn.es4sql.parse.ElasticSqlStatementParser,class,304,306,2,304,1566,2,0,570,7056,0.98844093,0.0,0.0,120,0,71,22,27,0,98,0,0,0,31,30,0,31,0,0,30,0,4,7156,382,86,719,2,26,519,59,856,64,787,7,0,0,0,517,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/elasticsearch-sql/src/main/java/org/nlpcn/es4sql/query/multi/MultiQuerySelect.java,org.nlpcn.es4sql.query.multi.MultiQuerySelect,class,2,8,6,2,4,1,0,0,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,19,1,0
