file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-client-project/src/main/java/org/apache/hbase/archetypes/exemplars/client/HelloHBase.java,org.apache.hbase.archetypes.exemplars.client.HelloHBase,createNamespaceAndTable/1[org.apache.hbase.archetypes.exemplars.client.Admin],false,97,3,3,2,1,3,13,11,0,1,1,13,1,1,0,0,0,0,5,0,1,2,1,0,0,0,44,8,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-client-project/src/main/java/org/apache/hbase/archetypes/exemplars/client/HelloHBase.java,org.apache.hbase.archetypes.exemplars.client.HelloHBase,HelloHBase/0,true,54,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-client-project/src/main/java/org/apache/hbase/archetypes/exemplars/client/HelloHBase.java,org.apache.hbase.archetypes.exemplars.client.HelloHBase,getAndPrintRowContents/1[org.apache.hbase.archetypes.exemplars.client.Table],false,137,4,1,1,0,3,14,11,0,2,1,14,0,0,2,0,0,0,8,0,2,3,2,0,0,0,46,8,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-client-project/src/main/java/org/apache/hbase/archetypes/exemplars/client/HelloHBase.java,org.apache.hbase.archetypes.exemplars.client.HelloHBase,deleteRow/1[org.apache.hbase.archetypes.exemplars.client.Table],false,180,2,2,2,0,1,5,4,0,0,1,5,0,0,0,0,0,0,3,0,0,1,0,0,0,0,27,8,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-client-project/src/main/java/org/apache/hbase/archetypes/exemplars/client/HelloHBase.java,org.apache.hbase.archetypes.exemplars.client.HelloHBase,main/1[java.lang.String[]],false,57,1,5,0,5,3,11,19,0,4,1,11,5,3,0,0,2,0,4,0,4,2,3,0,0,0,54,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-client-project/src/main/java/org/apache/hbase/archetypes/exemplars/client/HelloHBase.java,org.apache.hbase.archetypes.exemplars.client.HelloHBase,putRowToTable/1[org.apache.hbase.archetypes.exemplars.client.Table],false,118,2,2,2,0,1,7,4,0,0,1,7,0,0,0,0,0,0,10,0,0,1,0,0,0,0,48,8,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-client-project/src/main/java/org/apache/hbase/archetypes/exemplars/client/HelloHBase.java,org.apache.hbase.archetypes.exemplars.client.HelloHBase,"namespaceExists/2[org.apache.hbase.archetypes.exemplars.client.Admin,java.lang.String]",false,166,1,4,4,0,2,1,9,2,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,26,8,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-client-project/src/main/java/org/apache/hbase/archetypes/exemplars/client/HelloHBase.java,org.apache.hbase.archetypes.exemplars.client.HelloHBase,deleteNamespaceAndTable/1[org.apache.hbase.archetypes.exemplars.client.Admin],false,192,2,2,1,1,3,8,11,0,0,1,8,1,1,0,0,0,0,4,0,0,2,1,0,0,0,34,8,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-shaded-client-project/src/test/java/org/apache/hbase/archetypes/exemplars/shaded_client/TestHelloHBase.java,org.apache.hbase.archetypes.exemplars.shaded_client.TestHelloHBase,testPutRowToTable/0,false,94,6,1,0,1,1,11,10,0,3,0,11,0,0,0,0,0,0,1,0,3,0,0,0,0,0,19,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/hbase/hbase-archetypes/hbase-shaded-client-project/src/test/java/org/apache/hbase/archetypes/exemplars/shaded_client/TestHelloHBase.java,org.apache.hbase.archetypes.exemplars.shaded_client.TestHelloHBase,testDeleteRow/0,false,108,7,1,0,1,1,14,11,0,3,0,14,0,0,0,0,0,0,2,0,3,0,0,0,0,0,19,1,0,false
