file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/xalan/third_party/android/platform/external/apache-xml/src/main/java/org/apache/xpath/objects/XNodeSetForDOM.java,org.apache.xpath.objects.XNodeSetForDOM,class,9,11,2,9,10,3,0,7,0,0.5,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,1,0,0,0,2,1,0,0,38,3,0,0,0,4,0,1,13,0,5,1,0,0,0,65,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/jre_emul/android/platform/external/okhttp/okio/okio/src/main/java/okio/RealBufferedSource.java,okio.RealBufferedSource,class,10,16,6,10,111,1,0,53,0,0.56060606,0.0,0.0,44,0,43,1,0,0,43,0,0,0,3,0,2,1,0,0,2,0,7,317,47,11,33,2,10,21,70,29,7,22,3,1,0,0,100,16,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/xalan/third_party/android/platform/external/apache-xml/src/main/java/org/apache/xpath/axes/FilterExprIterator.java,org.apache.xpath.axes.FilterExprIterator$filterExprOwner,innerclass,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/jre_emul/android/platform/libcore/ojluni/src/main/java/java/nio/ByteBufferAsCharBuffer.java,java.nio.ByteBufferAsCharBuffer,class,2,2,0,2,37,3,0,29,0,0.5185185,0.0,0.0,18,0,15,0,1,2,18,0,0,0,3,0,0,1,2,0,3,0,4,121,17,0,0,1,15,0,13,22,13,17,1,0,0,0,55,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/jre_emul/android/platform/libcore/harmony-tests/src/test/java/org/apache/harmony/tests/java/lang/reflect/BoundedGenericMethodsTests.java,org.apache.harmony.tests.java.lang.reflect.BoundedGenericMethodsTests$BoundedGenericMethods,innerclass,1,1,0,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,8,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/jre_emul/android/platform/libcore/support/src/test/java/org/apache/harmony/security/tests/support/MyKeyStoreSpi.java,org.apache.harmony.security.tests.support.MyKeyStoreSpi$MyCertificate,innerclass,1,1,0,1,6,2,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/jre_emul/android/platform/external/icu/android_icu4j/src/main/tests/android/icu/dev/test/format/DataDrivenFormatTest.java,android.icu.dev.test.format.DataDrivenFormatTest,class,19,20,1,19,22,3,0,38,4,0.5,0.0,0.0,4,0,2,2,0,0,2,0,0,0,4,4,0,4,0,0,4,0,11,135,1,2,1,0,1,34,5,47,9,36,5,0,0,0,96,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/jre_emul/android/platform/libcore/luni/src/test/java/libcore/java/net/URLConnectionTest.java,libcore.java.net.URLConnectionTest$SimpleAuthenticator,innerclass,0,0,0,0,3,2,0,8,0,0.125,NaN,NaN,1,0,0,0,1,0,1,0,0,0,8,1,0,8,0,0,1,0,0,19,1,0,1,0,1,3,0,7,0,8,0,0,0,0,33,10,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/jre_emul/android/platform/libcore/ojluni/src/main/java/sun/net/util/URLUtil.java,sun.net.util.URLUtil,class,0,0,0,0,6,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,5,0,0,2,2,8,0,5,2,0,0,0,53,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/j2objc/jre_emul/android/platform/libcore/luni/src/test/java/libcore/java/nio/charset/OldCharset_MultiByte_Big5.java,libcore.java.nio.charset.OldCharset_MultiByte_Big5,class,2,2,0,2,1,3,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,6123,3,0,0,0,0,0,0,21,1,0
