file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j-dashscope/src/main/java/dev/langchain4j/model/dashscope/QwenStreamingResponseBuilder.java,dev.langchain4j.model.dashscope.QwenStreamingResponseBuilder,class,9,14,5,9,12,1,0,9,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,1,0,6,51,7,0,6,0,0,0,0,13,0,10,2,0,0,0,30,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j-mistral-ai/src/main/java/dev/langchain4j/model/mistralai/internal/client/MistralAiClientBuilderFactory.java,dev.langchain4j.model.mistralai.internal.client.MistralAiClientBuilderFactory,interface,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j-core/src/test/java/dev/langchain4j/web/search/WebSearchRequestTest.java,dev.langchain4j.web.search.WebSearchRequestTest,class,3,3,0,3,6,1,0,26,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,8,61,0,0,0,0,0,17,12,7,0,7,0,0,0,1,47,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j/src/test/java/dev/langchain4j/service/AiServicesWithJsonSchemaIT.java,dev.langchain4j.service.AiServicesWithJsonSchemaIT$PersonExtractor8$Pet,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j/src/test/java/dev/langchain4j/service/tool/ToolExecutionRequestUtilTest.java,dev.langchain4j.service.tool.ToolExecutionRequestUtilTest,class,8,8,0,8,5,1,0,20,10,0.0,0.0,0.0,5,1,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,31,1,0,0,0,4,54,3,6,0,7,1,0,0,1,32,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j-ollama/src/main/java/dev/langchain4j/model/ollama/OllamaStreamingChatModel.java,dev.langchain4j.model.ollama.OllamaStreamingChatModel$OllamaStreamingChatModelBuilder,innerclass,2,2,0,2,17,1,0,0,106,0.8823529,0.0,0.0,17,0,17,0,0,0,17,0,0,0,15,0,0,15,0,0,0,0,0,82,16,0,0,0,0,0,0,15,0,15,0,0,0,0,32,9,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j-core/src/test/java/dev/langchain4j/rag/query/MetadataTest.java,dev.langchain4j.rag.query.MetadataTest,class,5,5,0,5,3,1,0,15,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,25,23,0,0,0,0,0,20,5,9,1,9,0,0,0,0,36,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j/src/test/java/dev/langchain4j/service/StreamingAiServicesWithToolsWithoutMemoryIT.java,dev.langchain4j.service.StreamingAiServicesWithToolsWithoutMemoryIT$Assistant,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j-open-ai/src/main/java/dev/langchain4j/model/openai/OpenAiChatModel.java,dev.langchain4j.model.openai.OpenAiChatModel$OpenAiChatModelBuilder,innerclass,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,9,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/langchain4j/langchain4j-anthropic/src/main/java/dev/langchain4j/model/anthropic/internal/api/AnthropicDelta.java,dev.langchain4j.model.anthropic.internal.api.AnthropicDelta,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,1,0
