file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap$Node,innerclass,1,1,0,1,2,1,0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,2,0,0,0,0,7,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Merge k Sorted Arrays.java,Node,innerclass,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Find the Weak Connected Component in the Directed Graph.java,UnionFind,innerclass,2,3,1,2,6,1,0,3,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,23,1,2,2,0,0,0,0,5,0,4,1,0,0,0,12,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/NQueens.java,NQueens,class,1,2,1,1,16,1,0,12,10,0.0,0.0,0.0,5,1,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,59,8,4,5,0,0,2,7,9,5,9,3,0,0,0,43,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,class,4,5,1,4,30,1,0,14,9,0.625,0.0,0.0,14,0,1,0,0,13,14,0,0,0,4,0,0,0,0,4,0,0,0,145,12,2,9,0,3,2,29,21,15,18,2,0,1,0,41,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Interval Sum II.java,SegmentSumTreeNode,innerclass,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,5,0,5,0,0,0,0,9,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Largest Number.java,CustomComparator,class,1,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Min Stack.java,MinStack,class,1,1,0,1,6,1,0,4,0,0.125,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,24,2,0,0,0,0,0,0,2,0,2,1,0,0,0,7,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/Matching Same Text Again & Again.java,Regex_Test,class,0,1,1,0,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,11,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Implement Trie.java,TrieNode,class,2,6,3,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,16,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/Solution.java,TreeNode,innerclass,1,6,3,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LeetCode-Merged/GenerateCodeTable.java,GenerateCodeTable,class,3,7,1,6,18,1,0,14,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,74,6,2,4,1,0,46,5,17,5,11,2,0,0,0,88,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,innerclass,1,1,0,1,12,1,0,6,8,0.7083333,0.0,0.0,9,0,9,0,0,0,9,0,0,0,8,0,0,8,0,0,0,0,1,58,11,0,0,1,0,12,5,11,1,10,1,0,0,0,45,10,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Binary Tree Maximum Path Sum.java,PathSumType,innerclass,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,2,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Trapping Rain Water II.java,Cell,innerclass,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/Solution.java,Solution,class,5,45,1,44,14,1,0,11,6,0.0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,80,5,4,4,0,0,14,14,28,5,14,3,0,1,0,65,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Interval Minimum Number.java,SegmentMinTreeNode,innerclass,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,5,0,5,0,0,0,0,9,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Graph Valid Tree.java,Pair,innerclass,0,5,2,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,16,0,0
