file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap$Node,"Node/2[java.lang.Integer,java.lang.Integer]",true,70,0,4,4,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap$Node,Node/1[HashHeap.Node],true,65,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Merge k Sorted Arrays.java,Node,"Node/3[int,int,int]",true,39,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Find the Weak Connected Component in the Directed Graph.java,UnionFind,"union/2[int,int]",false,98,0,0,0,0,2,2,7,0,2,2,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,6,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Find the Weak Connected Component in the Directed Graph.java,UnionFind,UnionFind/1[HashSet<Integer>],true,83,2,0,0,0,2,1,6,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Find the Weak Connected Component in the Directed Graph.java,UnionFind,find/1[int],false,91,0,0,0,0,2,1,7,1,1,1,1,0,0,1,1,0,0,0,0,2,0,1,0,0,0,3,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/NQueens.java,NQueens,solveNQueens/1[int],false,153,1,2,1,1,2,1,8,2,1,1,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,25,0,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/NQueens.java,NQueens,"search/3[int,java.util.ArrayList<java.lang.Integer>,java.util.ArrayList<java.util.ArrayList<java.lang.String>>]",false,199,1,5,2,3,4,7,14,1,1,3,7,3,1,1,1,0,0,0,2,1,1,2,0,0,0,9,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/NQueens.java,NQueens,main/1[java.lang.String[]],false,214,1,2,0,2,1,1,4,0,1,1,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,5,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/NQueens.java,NQueens,createBoard/1[java.util.ArrayList<java.lang.Integer>],false,162,0,1,1,0,4,5,16,1,4,1,5,0,0,2,1,0,0,2,2,4,0,3,0,0,0,9,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/NQueens.java,NQueens,"isValid/2[java.util.ArrayList<java.lang.Integer>,int]",false,178,0,1,1,0,5,2,15,4,2,2,2,0,0,1,3,0,0,0,1,2,4,2,0,0,0,7,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,rson/1[int],false,108,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,parent/1[int],false,97,0,1,1,0,2,0,6,2,0,1,0,0,0,0,1,0,1,0,4,0,2,1,0,0,0,2,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,"comparesmall/2[int,int]",false,114,0,2,2,0,4,0,10,4,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,6,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,size/0,false,89,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,empty/0,false,93,0,0,0,0,2,1,3,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,"swap/2[int,int]",false,130,1,5,4,1,1,3,10,0,4,2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,delete/1[int],false,179,2,4,0,4,3,7,19,0,3,1,7,3,3,0,1,0,0,0,4,3,3,2,0,0,0,11,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,peak/0,false,85,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,lson/1[int],false,104,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,siftup/1[int],false,199,1,5,2,3,3,4,12,0,1,1,4,3,1,1,1,0,0,0,1,2,0,2,0,0,0,7,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,poll/0,false,143,2,3,0,3,3,6,17,1,2,0,6,2,2,0,1,0,0,0,9,2,3,2,0,0,0,9,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,siftdown/1[int],false,211,1,6,2,4,5,6,20,0,3,1,6,4,1,1,2,0,1,0,0,5,0,2,0,0,0,11,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,add/1[int],false,162,2,2,0,2,2,6,12,0,1,1,6,1,2,0,0,0,0,0,4,1,3,1,0,0,0,7,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Building Outline.java,HashHeap,HashHeap/1[java.lang.String],true,77,2,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Interval Sum II.java,SegmentSumTreeNode,"SegmentSumTreeNode/3[int,int,long]",true,42,0,0,0,0,1,0,7,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Largest Number.java,CustomComparator,"compare/2[String,String]",false,19,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Min Stack.java,MinStack,MinStack/0,true,36,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Min Stack.java,MinStack,push/1[int],false,41,0,0,0,0,3,3,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Min Stack.java,MinStack,pop/0,false,50,0,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Min Stack.java,MinStack,min/0,false,55,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/Matching Same Text Again & Again.java,Regex_Test,checker/1[java.lang.String],false,78,0,0,0,0,1,5,7,0,4,1,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Implement Trie.java,TrieNode,TrieNode/0,true,38,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/Solution.java,TreeNode,TreeNode/1[int],true,23,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LeetCode-Merged/GenerateCodeTable.java,GenerateCodeTable,generateWordPressPage/1[File[]],false,45,1,0,0,0,3,2,12,1,2,1,2,0,0,1,0,0,0,22,1,4,3,2,0,0,0,33,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LeetCode-Merged/GenerateCodeTable.java,GenerateCodeTable,generateREADME/1[File[]],false,82,1,0,0,0,3,2,11,1,2,1,2,0,0,1,0,0,0,12,1,3,2,2,0,0,0,52,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LeetCode-Merged/GenerateCodeTable.java,GenerateCodeTable,generateCombinedPost/0,false,102,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LeetCode-Merged/GenerateCodeTable.java,GenerateCodeTable,"printPage/2[String,String]",false,108,2,0,0,0,2,6,15,0,3,2,6,0,0,0,0,1,0,1,0,3,0,1,0,0,0,22,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LeetCode-Merged/GenerateCodeTable.java,GenerateCodeTable,main/1[String[]],false,9,2,0,0,0,9,8,31,3,4,1,8,0,0,0,4,0,0,10,3,7,0,1,0,0,0,21,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,"TableRow/8[long,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.List<java.lang.String>]",true,40,0,1,1,0,1,0,10,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,getLeetcodeNum/0,false,51,0,2,2,0,4,4,16,4,1,0,4,0,0,0,0,1,0,1,4,1,0,1,0,0,0,21,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,getLevel/0,false,75,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,getTutorialLink/0,false,79,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,getDate/0,false,67,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,getTableComposedLine/1[int],false,91,1,3,2,1,1,2,4,1,1,1,2,1,1,0,0,0,0,11,0,1,1,0,0,0,0,18,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,getNote/0,false,83,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,getTags/0,false,87,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/GenerateCodeTable.java,GenerateCodeTable$TableRow,getFileName/0,false,71,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Binary Tree Maximum Path Sum.java,PathSumType,"PathSumType/2[int,int]",true,78,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Trapping Rain Water II.java,Cell,"Cell/3[int,int,int]",true,48,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/Solution.java,Solution,deserialize/1[String],false,71,4,0,0,0,6,8,28,2,6,1,8,0,0,2,1,0,0,8,9,14,3,3,0,0,0,41,1,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/Solution.java,Solution,init/0,false,103,1,0,0,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/Solution.java,Solution,main/1[String[]],false,109,2,0,0,0,1,3,6,0,2,1,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,5,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/Solution.java,Solution,serialize/1[TreeNode],false,34,4,0,0,0,6,5,30,2,5,1,5,0,0,2,3,0,0,5,2,9,2,3,0,0,0,32,1,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Interval Minimum Number.java,SegmentMinTreeNode,"SegmentMinTreeNode/3[int,int,int]",true,43,0,0,0,0,1,0,7,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/leet-code/Others/old records/LintCode-Backup/Graph Valid Tree.java,Pair,"Pair/2[int,int]",true,123,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
