file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/lwjgl/vulkan/src/generated/java/org/lwjgl/vulkan/KHRAccelerationStructure.java,org.lwjgl.vulkan.KHRAccelerationStructure,class,18,19,1,18,67,1,0,37,691,0.97350407,0.0,0.0,39,38,38,0,1,0,39,0,0,0,23,23,23,0,0,0,23,0,16,258,16,0,0,0,0,69,63,82,0,82,1,0,0,0,722,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/lwjgl/vulkan/src/generated/java/org/lwjgl/vulkan/VkDisplayPlaneCapabilitiesKHR.java,org.lwjgl.vulkan.VkDisplayPlaneCapabilitiesKHR,class,11,16,5,11,47,3,0,31,814,0.9483473,0.0,0.0,44,31,42,0,2,0,45,0,0,0,3,3,3,0,0,0,3,0,17,198,42,0,2,0,0,1,14,14,10,14,0,0,1,0,225,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/samples/src/test/java/org/lwjgl/demo/nanovg/ExampleFBO.java,org.lwjgl.demo.nanovg.ExampleFBO,class,9,10,1,9,24,2,0,77,4,0.6444445,NaN,NaN,5,4,1,4,0,0,1,0,0,0,9,9,0,9,0,0,4,0,63,184,1,5,10,1,10,17,102,47,36,52,2,0,0,3,168,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/lwjgl/vulkan/src/generated/java/org/lwjgl/vulkan/VkDirectDriverLoadingListLUNARG.java,org.lwjgl.vulkan.VkDirectDriverLoadingListLUNARG,class,10,14,4,10,44,3,0,38,624,0.89895475,0.0,0.0,41,25,39,0,2,0,42,0,0,0,3,3,3,0,0,0,3,0,13,205,33,0,2,0,0,9,12,12,12,12,0,0,1,0,182,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/lwjgl/openxr/src/generated/java/org/lwjgl/openxr/XrUuidMSFT.java,org.lwjgl.openxr.XrUuidMSFT$Buffer,innerclass,6,6,0,6,9,2,0,7,36,0.8888889,0.0,0.0,9,0,6,0,2,1,9,0,0,0,1,1,0,1,0,0,1,0,5,32,6,0,0,0,0,4,3,1,1,1,0,0,0,0,73,9,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/lwjgl/vulkan/src/generated/java/org/lwjgl/vulkan/video/StdVideoDecodeH265ReferenceInfo.java,org.lwjgl.vulkan.video.StdVideoDecodeH265ReferenceInfo$Buffer,innerclass,7,7,0,7,10,2,0,9,45,0.9,0.0,0.0,10,0,7,0,2,1,10,0,0,0,1,1,0,1,0,0,1,0,5,36,7,0,0,0,0,2,3,1,1,1,0,0,0,0,85,9,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/lwjgl/vulkan/src/generated/java/org/lwjgl/vulkan/VkExternalSemaphoreProperties.java,org.lwjgl.vulkan.VkExternalSemaphoreProperties$Buffer,innerclass,6,6,0,6,13,2,0,11,78,0.9230769,0.0,0.0,13,0,10,0,2,1,13,0,0,0,1,1,0,1,0,0,1,0,8,44,10,0,0,0,0,7,3,1,1,1,0,0,0,0,86,9,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/lwjgl/opengl/src/generated/java/org/lwjgl/opengl/NVBlendMinmaxFactor.java,org.lwjgl.opengl.NVBlendMinmaxFactor,class,0,0,0,0,1,1,0,0,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,5,0,0,0,0,0,0,2,2,0,2,0,0,0,0,79,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/lwjgl/cuda/src/generated/java/org/lwjgl/cuda/CUmemAllocationProp.java,org.lwjgl.cuda.CUmemAllocationProp$Buffer,innerclass,7,7,0,7,24,2,0,23,276,0.9583333,0.0,0.0,24,0,21,0,2,1,24,0,0,0,1,1,0,1,0,0,1,0,19,85,21,0,0,0,0,16,3,1,1,1,0,0,0,0,97,9,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/lwjgl3/modules/lwjgl/vulkan/src/generated/java/org/lwjgl/vulkan/VkPhysicalDevicePresentWaitFeaturesKHR.java,org.lwjgl.vulkan.VkPhysicalDevicePresentWaitFeaturesKHR,class,9,15,6,9,38,3,0,29,366,0.8606061,0.0,0.0,33,20,31,0,2,0,34,0,0,0,3,3,3,0,0,0,3,0,6,163,28,0,3,0,0,6,12,8,7,8,0,0,1,0,168,1,0
