file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/maven-core/src/main/java/org/apache/maven/lifecycle/providers/packaging/WarLifecycleMappingProvider.java,org.apache.maven.lifecycle.providers.packaging.WarLifecycleMappingProvider,class,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,25,0,1,8,1,0,0,0,0,37,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/maven-embedder/src/main/java/org/fusesource/jansi/Ansi.java,org.fusesource.jansi.Ansi$NoAnsi,innerclass,5,5,0,5,32,2,0,0,496,0.0,0.0,0.0,32,0,29,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,98,29,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/api/maven-api-core/src/main/java/org/apache/maven/api/services/SettingsBuilderRequest.java,org.apache.maven.api.services.SettingsBuilderRequest$SettingsBuilderRequestBuilder,innerclass,7,7,0,7,5,2,0,0,2,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,0,0,4,0,0,0,45,5,0,0,0,0,0,0,4,0,4,0,0,1,0,11,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/maven-core/src/main/java/org/apache/maven/classrealm/ClassRealmManagerDelegate.java,org.apache.maven.classrealm.ClassRealmManagerDelegate,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/maven-core/src/main/java/org/apache/maven/toolchain/ToolchainManager.java,org.apache.maven.toolchain.ToolchainManager,interface,3,5,2,3,2,1,0,1,1,1.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,63,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/maven-compat/src/main/java/org/apache/maven/project/MavenProjectBuilder.java,org.apache.maven.project.MavenProjectBuilder,interface,6,7,1,6,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/maven-core/src/test/java/org/apache/maven/artifact/handler/ArtifactHandlerTest.java,org.apache.maven.artifact.handler.ArtifactHandlerTest,class,7,8,1,7,13,1,0,19,3,0.6666667,NaN,NaN,3,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,41,2,2,1,0,1,23,9,16,5,16,3,0,0,0,40,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/maven-api-impl/src/main/java/org/apache/maven/internal/impl/resolver/artifact/MavenArtifactProperties.java,org.apache.maven.internal.impl.resolver.artifact.MavenArtifactProperties,class,0,0,0,0,1,1,0,0,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,7,0,0,0,0,0,3,0,3,0,3,0,0,0,0,107,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/maven-api-impl/src/main/java/org/apache/maven/internal/impl/model/DefaultModelInterpolator.java,org.apache.maven.internal.impl.model.DefaultModelInterpolator$ObjectBasedValueSource,innerclass,1,1,0,1,5,2,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,19,3,0,1,1,0,2,0,1,1,1,1,0,0,0,75,9,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/maven/api/maven-api-core/src/main/java/org/apache/maven/api/Lifecycle.java,org.apache.maven.api.Lifecycle$Alias,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
