file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/CoapTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.CoapTransportHealthChecker,class,10,10,0,10,8,3,0,11,4,0.4,0.0,0.0,5,0,0,0,5,0,5,0,0,0,1,0,0,1,0,0,0,0,0,32,1,0,3,0,0,5,0,6,1,5,1,0,0,0,39,1,2
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/client/WsClientFactory.java,org.thingsboard.monitoring.client.WsClientFactory,class,8,9,1,8,3,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,2,0,0,22,1,0,0,0,0,5,0,4,1,10,1,0,0,1,40,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/MqttTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.MqttTransportHealthChecker,class,12,12,0,12,9,3,0,21,4,0.6,0.0,0.0,5,0,0,0,5,0,5,0,0,0,2,1,0,2,0,0,1,0,0,39,1,0,3,0,0,3,1,8,1,7,2,0,0,0,49,1,2
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/notification/NotificationService.java,org.thingsboard.monitoring.notification.NotificationService,class,6,7,1,6,3,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,2,0,2,26,0,0,0,1,0,2,0,3,1,5,3,0,0,2,12,1,1
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/data/notification/HighLatencyNotification.java,org.thingsboard.monitoring.data.notification.HighLatencyNotification,class,2,3,1,2,2,1,0,8,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,17,1,0,0,0,0,3,0,3,0,4,1,0,0,1,19,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/Lwm2mTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.Lwm2mTransportHealthChecker,class,8,8,0,8,10,3,0,10,9,0.5,0.0,0.0,6,0,0,0,6,0,6,0,0,0,1,0,0,1,0,0,0,0,0,29,2,0,3,0,0,1,1,3,0,2,1,0,0,0,28,1,1
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/BaseMonitoringService.java,org.thingsboard.monitoring.service.BaseMonitoringService,class,15,18,3,15,23,1,0,56,26,0.8333333,0.0,0.0,9,0,1,5,3,0,4,3,1,0,8,0,0,7,1,0,2,0,3,113,5,3,1,4,0,7,0,15,0,23,4,0,0,4,67,1025,6
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/data/cmd/CmdsWrapper.java,org.thingsboard.monitoring.data.cmd.CmdsWrapper,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/util/ResourceUtils.java,org.thingsboard.monitoring.util.ResourceUtils,class,3,6,3,3,4,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,2,0,0,2,0,2,2,2,1,0,0,0,16,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/data/cmd/EntityDataCmd.java,org.thingsboard.monitoring.data.cmd.EntityDataCmd,class,3,5,2,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,1,0
