file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/CoapTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.CoapTransportHealthChecker,sendTestPayload/1[java.lang.String],false,56,2,0,0,0,2,2,7,0,2,1,2,0,0,0,1,0,0,1,0,2,0,1,0,0,0,15,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/CoapTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.CoapTransportHealthChecker,"CoapTransportHealthChecker/2[org.thingsboard.monitoring.service.transport.impl.CoapTransportMonitoringConfig,org.thingsboard.monitoring.service.transport.impl.TransportMonitoringTarget]",true,40,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/CoapTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.CoapTransportHealthChecker,destroyClient/0,false,65,0,0,0,0,2,2,7,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,8,4,1,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/CoapTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.CoapTransportHealthChecker,initClient/0,false,45,1,0,0,0,2,7,9,0,2,0,7,0,0,0,1,0,0,3,0,3,1,1,0,0,0,18,4,1,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/CoapTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.CoapTransportHealthChecker,getTransportType/0,false,74,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/client/WsClientFactory.java,org.thingsboard.monitoring.client.WsClientFactory,createClient/1[java.lang.String],false,42,5,5,1,4,3,10,16,1,6,1,10,0,0,0,0,0,0,3,0,4,1,1,0,0,1,29,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/MqttTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.MqttTransportHealthChecker,getTransportType/0,false,83,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/MqttTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.MqttTransportHealthChecker,sendTestPayload/1[java.lang.String],false,66,1,0,0,0,1,5,6,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/MqttTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.MqttTransportHealthChecker,"MqttTransportHealthChecker/2[org.thingsboard.monitoring.service.transport.impl.MqttTransportMonitoringConfig,org.thingsboard.monitoring.service.transport.impl.TransportMonitoringTarget]",true,42,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/MqttTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.MqttTransportHealthChecker,initClient/0,false,47,4,0,0,0,4,14,16,0,4,0,14,0,0,0,2,0,0,1,1,5,1,2,0,0,0,22,4,1,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/MqttTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.MqttTransportHealthChecker,destroyClient/0,false,74,0,0,0,0,2,2,7,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,8,4,1,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/notification/NotificationService.java,org.thingsboard.monitoring.notification.NotificationService,sendNotification/1[org.thingsboard.monitoring.data.notification.Notification],false,41,2,5,3,2,3,9,21,0,2,1,9,0,0,0,0,1,0,1,0,2,1,3,0,0,2,9,1,1,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/data/notification/HighLatencyNotification.java,org.thingsboard.monitoring.data.notification.HighLatencyNotification,getText/0,false,33,1,2,1,1,1,8,9,1,2,0,8,0,0,0,0,0,0,3,0,1,0,1,0,0,1,14,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/data/notification/HighLatencyNotification.java,org.thingsboard.monitoring.data.notification.HighLatencyNotification,"HighLatencyNotification/2[java.util.Collection<org.thingsboard.monitoring.data.Latency>,int]",true,27,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/Lwm2mTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.Lwm2mTransportHealthChecker,"Lwm2mTransportHealthChecker/2[org.thingsboard.monitoring.service.transport.impl.Lwm2mTransportMonitoringConfig,org.thingsboard.monitoring.service.transport.impl.TransportMonitoringTarget]",true,35,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/Lwm2mTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.Lwm2mTransportHealthChecker,initClient/0,false,40,1,2,0,2,4,8,8,0,1,0,8,0,0,0,2,0,0,1,0,2,0,1,0,0,0,11,4,1,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/Lwm2mTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.Lwm2mTransportHealthChecker,sendTestPayload/1[java.lang.String],false,50,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/Lwm2mTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.Lwm2mTransportHealthChecker,getTransportType/0,false,68,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/Lwm2mTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.Lwm2mTransportHealthChecker,destroyClient/0,false,60,1,1,0,1,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/transport/impl/Lwm2mTransportHealthChecker.java,org.thingsboard.monitoring.service.transport.impl.Lwm2mTransportHealthChecker,createTestPayload/1[java.lang.String],false,55,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/BaseMonitoringService.java,org.thingsboard.monitoring.service.BaseMonitoringService,"check/2[org.thingsboard.monitoring.service.BaseHealthChecker<C,T>,org.thingsboard.monitoring.client.WsClient]",false,122,5,5,0,5,7,15,27,0,6,2,15,0,0,2,0,0,0,1,0,8,0,3,0,0,0,27,2,1,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/BaseMonitoringService.java,org.thingsboard.monitoring.service.BaseMonitoringService,init/0,false,65,3,1,0,1,4,13,20,1,4,0,13,0,0,0,1,0,0,0,0,1,0,4,0,0,3,14,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/BaseMonitoringService.java,org.thingsboard.monitoring.service.BaseMonitoringService,"initHealthChecker/2[T,C]",false,84,4,2,0,2,1,8,7,1,1,2,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,2,1,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/monitoring/src/main/java/org/thingsboard/monitoring/service/BaseMonitoringService.java,org.thingsboard.monitoring.service.BaseMonitoringService,createTarget/1[java.lang.String],false,175,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1028,0,false
