file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/customerSmoke/ManageCustomersEdgesTest.java,org.thingsboard.server.msa.ui.tests.customerSmoke.ManageCustomersEdgesTest,openWindowByRightCornerBtn/0,false,46,8,7,0,7,1,13,9,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/customerSmoke/ManageCustomersEdgesTest.java,org.thingsboard.server.msa.ui.tests.customerSmoke.ManageCustomersEdgesTest,login/0,false,36,4,4,0,4,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/customerSmoke/ManageCustomersEdgesTest.java,org.thingsboard.server.msa.ui.tests.customerSmoke.ManageCustomersEdgesTest,openWindowByView/0,false,61,9,9,0,9,1,15,10,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/assetProfileSmoke/MakeAssetProfileDefaultTest.java,org.thingsboard.server.msa.ui.tests.assetProfileSmoke.MakeAssetProfileDefaultTest,makeDeviceProfileDefaultFromView/0,false,72,10,9,0,9,1,12,11,0,1,0,12,0,0,0,0,0,0,4,1,2,1,0,0,0,0,27,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/assetProfileSmoke/MakeAssetProfileDefaultTest.java,org.thingsboard.server.msa.ui.tests.assetProfileSmoke.MakeAssetProfileDefaultTest,makeDeviceProfileDefaultByRightCornerBtn/0,false,56,10,7,0,7,1,10,9,0,1,0,10,0,0,0,0,0,0,4,1,2,1,0,0,0,0,29,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/assetProfileSmoke/MakeAssetProfileDefaultTest.java,org.thingsboard.server.msa.ui.tests.assetProfileSmoke.MakeAssetProfileDefaultTest,makeProfileDefault/0,false,47,3,3,0,3,1,4,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/assetProfileSmoke/MakeAssetProfileDefaultTest.java,org.thingsboard.server.msa.ui.tests.assetProfileSmoke.MakeAssetProfileDefaultTest,login/0,false,40,4,4,0,4,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/mapper/WsTelemetryResponse.java,org.thingsboard.server.msa.mapper.WsTelemetryResponse,getDataValuesByKey/1[java.lang.String],false,34,0,10,10,0,1,11,3,1,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,goToAssetsPage/0,false,41,2,3,1,2,1,3,4,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,openProfilesDropDown/0,false,57,2,4,2,2,2,3,5,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,openAssetProfiles/0,false,31,2,35,33,2,1,3,4,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,dropdownIsClose/1[org.thingsboard.server.msa.ui.pages.WebElement],false,71,1,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,SideBarMenuViewHelper/1[org.thingsboard.server.msa.ui.pages.WebDriver],true,22,1,18,18,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,goToEntityViewsPage/0,false,46,2,3,1,2,1,3,4,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,openEntitiesDropdown/0,false,51,2,5,3,2,2,3,5,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,entitiesDropdownIsClose/0,false,63,2,3,1,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,openDeviceProfiles/0,false,26,2,38,36,2,1,3,4,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,goToDevicesPage/0,false,36,2,67,65,2,1,3,4,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/SideBarMenuViewHelper.java,org.thingsboard.server.msa.ui.pages.SideBarMenuViewHelper,profilesIsClose/0,false,67,2,3,1,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/connectivity/Lwm2mClientNoSecTest.java,org.thingsboard.server.msa.connectivity.Lwm2mClientNoSecTest,setUp/0,false,31,3,2,0,2,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/connectivity/Lwm2mClientNoSecTest.java,org.thingsboard.server.msa.connectivity.Lwm2mClientNoSecTest,connectLwm2mClientNoSecWithLwm2mServer/0,false,42,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/connectivity/Lwm2mClientNoSecTest.java,org.thingsboard.server.msa.connectivity.Lwm2mClientNoSecTest,tearDown/0,false,37,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/devicessmoke/MakeDevicePrivateTest.java,org.thingsboard.server.msa.ui.tests.devicessmoke.MakeDevicePrivateTest,createPublicDevice/0,false,38,6,5,0,5,1,6,6,0,1,0,6,0,0,0,0,0,0,1,0,3,1,0,0,0,0,19,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/devicessmoke/MakeDevicePrivateTest.java,org.thingsboard.server.msa.ui.tests.devicessmoke.MakeDevicePrivateTest,deletePublicCustomer/0,false,46,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/devicessmoke/MakeDevicePrivateTest.java,org.thingsboard.server.msa.ui.tests.devicessmoke.MakeDevicePrivateTest,makeDevicePrivateByRightSideBtn/0,false,52,10,9,0,9,1,10,10,0,1,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,38,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/devicessmoke/MakeDevicePrivateTest.java,org.thingsboard.server.msa.ui.tests.devicessmoke.MakeDevicePrivateTest,makeDevicePrivateFromDetailsTab/0,false,66,10,11,0,11,1,12,12,0,1,0,12,0,0,0,0,0,0,2,0,1,0,0,0,0,0,38,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tabs/AssignDeviceTabHelper.java,org.thingsboard.server.msa.ui.tabs.AssignDeviceTabHelper,assignOnCustomer/1[java.lang.String],false,25,1,9,6,3,1,4,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tabs/AssignDeviceTabHelper.java,org.thingsboard.server.msa.ui.tabs.AssignDeviceTabHelper,AssignDeviceTabHelper/1[org.thingsboard.server.msa.ui.tabs.WebDriver],true,21,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/LoginPageElements.java,org.thingsboard.server.msa.ui.pages.LoginPageElements,titleLogo/0,false,44,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/LoginPageElements.java,org.thingsboard.server.msa.ui.pages.LoginPageElements,submitBtn/0,false,40,3,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/LoginPageElements.java,org.thingsboard.server.msa.ui.pages.LoginPageElements,emailField/0,false,32,3,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/LoginPageElements.java,org.thingsboard.server.msa.ui.pages.LoginPageElements,passwordField/0,false,36,3,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/pages/LoginPageElements.java,org.thingsboard.server.msa.ui.pages.LoginPageElements,LoginPageElements/1[org.thingsboard.server.msa.ui.pages.WebDriver],true,23,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/rulechainssmoke/MakeRuleChainRootTest.java,org.thingsboard.server.msa.ui.tests.rulechainssmoke.MakeRuleChainRootTest,makeRuleChainRootByRightCornerBtn/0,false,35,7,7,0,7,1,8,8,0,1,0,8,0,0,0,0,0,0,2,2,1,0,0,0,0,0,22,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/rulechainssmoke/MakeRuleChainRootTest.java,org.thingsboard.server.msa.ui.tests.rulechainssmoke.MakeRuleChainRootTest,makeRoot/0,false,29,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/rulechainssmoke/MakeRuleChainRootTest.java,org.thingsboard.server.msa.ui.tests.rulechainssmoke.MakeRuleChainRootTest,multiplyRoot/0,false,61,7,9,0,9,1,13,10,0,1,0,13,0,0,0,0,0,0,3,3,1,0,0,0,0,0,17,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/msa/black-box-tests/src/test/java/org/thingsboard/server/msa/ui/tests/rulechainssmoke/MakeRuleChainRootTest.java,org.thingsboard.server.msa.ui.tests.rulechainssmoke.MakeRuleChainRootTest,makeRuleChainRootFromView/0,false,47,7,9,0,9,1,10,10,0,1,0,10,0,0,0,0,0,0,2,2,1,0,0,0,0,0,20,1,0,false
