file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttPendingUnsubscription.java,org.thingsboard.mqtt.MqttPendingUnsubscription,class,5,7,2,5,6,1,0,7,0,0.5555556,0.0,0.0,6,0,0,0,0,6,6,0,0,0,3,0,0,3,0,0,3,0,0,27,2,0,0,0,0,0,0,3,0,5,0,0,0,1,28,16,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/RetransmissionHandler.java,org.thingsboard.mqtt.RetransmissionHandler,class,7,11,4,7,14,1,0,13,0,0.59999996,0.0,0.0,5,0,0,1,0,4,4,0,0,0,6,0,0,6,0,0,1,0,0,49,2,0,5,0,0,2,3,10,0,8,2,0,0,1,31,16,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttClientImpl.java,org.thingsboard.mqtt.MqttClientImpl,class,40,43,3,40,77,2,0,86,515,0.89338726,0.0,0.0,39,0,24,5,0,10,34,0,0,0,19,0,0,19,0,0,12,0,2,332,36,3,21,0,1,26,10,52,0,59,4,0,1,12,218,16,12
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttPendingSubscription.java,org.thingsboard.mqtt.MqttPendingSubscription$MqttPendingHandler,innerclass,1,1,0,1,3,1,0,0,0,0.33333334,0.0,0.0,3,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,16,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/test/java/org/thingsboard/mqtt/MqttPingHandlerTest.java,org.thingsboard.mqtt.MqttPingHandlerTest,class,7,7,0,7,2,1,0,13,0,0.16666667,0.0,0.0,2,0,0,0,0,2,2,0,0,0,3,2,0,0,0,3,2,0,0,18,0,0,0,0,0,0,2,6,1,6,0,0,0,0,47,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttPingHandler.java,org.thingsboard.mqtt.MqttPingHandler,class,9,12,3,9,16,2,0,20,11,0.6666667,0.0,0.0,6,0,2,3,0,1,3,0,0,0,2,0,0,2,0,0,1,0,0,63,1,0,4,0,1,5,3,8,0,7,2,0,0,1,44,16,5
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/test/java/org/thingsboard/mqtt/integration/server/MqttServer.java,org.thingsboard.mqtt.integration.server.MqttServer,class,9,10,1,9,2,1,0,9,0,0.3,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,0,0,5,0,0,2,0,0,37,0,0,0,1,0,4,1,6,0,6,1,1,0,0,29,1,4
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttClient.java,org.thingsboard.mqtt.MqttClient,interface,12,15,3,12,21,1,0,0,210,0.0,0.0,0.0,21,1,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttClientConfig.java,org.thingsboard.mqtt.MqttClientConfig,class,8,13,5,8,33,1,0,2,272,0.9228572,0.0,0.0,25,0,25,0,0,0,25,0,0,0,14,0,0,14,0,0,2,0,0,116,12,1,3,0,0,9,10,29,0,18,1,0,0,0,85,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/test/java/org/thingsboard/mqtt/integration/MqttIntegrationTest.java,org.thingsboard.mqtt.integration.MqttIntegrationTest,class,16,17,1,16,13,1,0,34,0,0.54285717,0.0,0.0,5,0,3,2,0,0,3,0,0,0,7,3,0,0,0,7,3,0,5,82,2,1,5,1,0,12,12,18,1,20,1,1,0,2,89,1,4
