file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttPendingUnsubscription.java,org.thingsboard.mqtt.MqttPendingUnsubscription,getFuture/0,false,39,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttPendingUnsubscription.java,org.thingsboard.mqtt.MqttPendingUnsubscription,getTopic/0,false,43,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttPendingUnsubscription.java,org.thingsboard.mqtt.MqttPendingUnsubscription,onUnsubackReceived/0,false,53,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttPendingUnsubscription.java,org.thingsboard.mqtt.MqttPendingUnsubscription,"MqttPendingUnsubscription/4[org.thingsboard.mqtt.Promise<java.lang.Void>,java.lang.String,org.thingsboard.mqtt.MqttUnsubscribeMessage,org.thingsboard.mqtt.PendingOperation]",true,31,4,1,1,0,1,1,6,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttPendingUnsubscription.java,org.thingsboard.mqtt.MqttPendingUnsubscription,"startRetransmissionTimer/2[org.thingsboard.mqtt.EventLoop,java.util.function.Consumer<java.lang.Object>]",false,47,2,1,1,0,1,5,4,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttPendingUnsubscription.java,org.thingsboard.mqtt.MqttPendingUnsubscription,onChannelClosed/0,false,57,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/RetransmissionHandler.java,org.thingsboard.mqtt.RetransmissionHandler,"setHandle/1[java.util.function.BiConsumer<org.thingsboard.mqtt.MqttFixedHeader,T>]",false,76,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/RetransmissionHandler.java,org.thingsboard.mqtt.RetransmissionHandler,startTimer/1[org.thingsboard.mqtt.EventLoop],false,50,3,1,0,1,7,11,19,2,2,1,11,0,0,0,2,0,0,0,1,5,0,2,0,0,1,13,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/RetransmissionHandler.java,org.thingsboard.mqtt.RetransmissionHandler,setOriginalMessage/1[T],false,80,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/RetransmissionHandler.java,org.thingsboard.mqtt.RetransmissionHandler,start/1[org.thingsboard.mqtt.EventLoop],false,39,2,1,0,1,3,1,10,0,0,1,1,0,0,0,2,0,0,2,1,1,0,1,0,0,0,8,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/RetransmissionHandler.java,org.thingsboard.mqtt.RetransmissionHandler,stop/0,false,69,0,0,0,0,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttClientImpl.java,org.thingsboard.mqtt.MqttClientImpl,getQos2PendingIncomingPublishes/0,false,560,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttClientImpl.java,org.thingsboard.mqtt.MqttClientImpl,getEventLoop/0,false,218,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttClientImpl.java,org.thingsboard.mqtt.MqttClientImpl,"publish/4[java.lang.String,org.thingsboard.mqtt.ByteBuf,org.thingsboard.mqtt.MqttQoS,boolean]",false,381,11,7,3,4,7,23,36,1,7,4,23,2,1,0,4,0,0,2,1,6,0,4,0,0,2,49,1,1,true
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttClientImpl.java,org.thingsboard.mqtt.MqttClientImpl,disconnect/0,false,426,4,1,0,1,4,6,14,0,2,0,6,1,1,0,2,0,0,2,2,3,0,3,0,0,1,14,1,1,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/netty-mqtt/src/main/java/org/thingsboard/mqtt/MqttClientImpl.java,org.thingsboard.mqtt.MqttClientImpl,getClientConfig/0,false,421,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
