file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/driver/linux/Who.java,oshi.driver.linux.Who,class,6,8,2,6,6,1,0,9,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,4,28,2,1,3,1,1,0,2,7,3,7,4,0,0,0,43,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/driver/unix/solaris/disk/Prtvtoc.java,oshi.driver.unix.solaris.disk.Prtvtoc,class,3,3,0,3,29,1,0,10,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,4,101,1,1,0,0,0,28,33,31,3,11,5,0,0,0,38,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/software/os/windows/WindowsNetworkParams.java,oshi.software.os.windows.WindowsNetworkParams,class,9,11,2,9,19,2,0,19,19,0.78571427,0.0,0.0,7,2,5,2,0,0,5,0,0,0,2,2,0,2,0,0,2,0,2,77,13,3,4,4,0,10,15,19,0,16,4,0,0,0,64,16,3
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/freebsd/FreeBsdSoundCard.java,oshi.hardware.platform.unix.freebsd.FreeBsdSoundCard,class,5,7,2,5,11,2,0,13,1,0.5,0.0,0.0,2,1,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,1,36,1,2,0,0,0,8,0,8,1,6,3,0,0,0,30,16,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/hardware/GlobalMemory.java,oshi.hardware.GlobalMemory,interface,3,14,11,3,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-demo/src/main/java/oshi/demo/DiskStoreForPath.java,oshi.demo.DiskStoreForPath,class,10,11,1,10,14,1,0,29,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,54,4,3,0,0,0,8,13,17,4,17,3,0,0,0,74,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/test/java/oshi/driver/windows/EnumWindowsTest.java,oshi.driver.windows.EnumWindowsTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,1,0,2,0,2,0,0,0,0,18,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/test/java/oshi/driver/unix/XrandrTest.java,oshi.driver.unix.XrandrTest,class,3,3,0,3,2,1,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,1,1,0,0,0,1,0,0,0,14,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacGraphicsCard.java,oshi.hardware.platform.mac.MacGraphicsCard,class,5,7,2,5,13,2,0,13,1,0.0,0.0,0.0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,42,1,1,1,0,0,10,10,14,0,10,4,0,0,0,40,16,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacHWDiskStore.java,oshi.hardware.platform.mac.MacHWDiskStore,class,21,23,2,21,50,2,0,51,58,0.8321678,0.0,0.0,13,2,10,3,0,0,10,0,0,0,11,3,0,11,0,0,3,0,11,256,15,7,27,0,1,23,17,94,2,68,9,0,1,0,163,17,4
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/software/os/unix/openbsd/OpenBsdFileSystem.java,oshi.software.os.unix.openbsd.OpenBsdFileSystem,class,7,10,3,7,25,2,0,20,15,0.9166667,0.0,0.0,6,2,4,1,0,1,5,0,0,0,8,8,4,4,0,0,8,0,9,82,6,2,2,0,3,23,22,30,4,25,3,0,0,0,77,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/hardware/common/AbstractLogicalVolumeGroup.java,oshi.hardware.common.AbstractLogicalVolumeGroup,class,1,4,3,1,8,1,3,11,0,0.4,0.0,0.0,5,0,4,0,1,0,5,0,0,0,3,0,0,3,0,0,3,0,3,35,4,2,0,0,0,4,0,5,0,5,2,0,0,0,32,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/driver/windows/wmi/Win32ComputerSystem.java,oshi.driver.windows.wmi.Win32ComputerSystem,class,4,4,0,4,2,1,0,3,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,10,1,0,0,0,0,1,0,2,0,2,0,0,1,0,32,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/util/FileSystemUtil.java,oshi.util.FileSystemUtil,class,2,10,8,2,13,1,0,11,10,0.8,0.0,0.0,5,4,4,1,0,0,4,0,0,0,2,2,0,2,0,0,2,0,8,39,6,2,0,0,1,4,1,8,1,7,3,0,0,0,100,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacHardwareAbstractionLayer.java,oshi.hardware.platform.mac.MacHardwareAbstractionLayer,class,26,27,1,26,12,2,0,8,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/aix/AixUsbDevice.java,oshi.hardware.platform.unix.aix.AixUsbDevice,class,4,6,2,4,6,2,0,7,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,21,2,1,1,0,0,7,4,3,0,3,3,0,0,0,60,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/solaris/SolarisPowerSource.java,oshi.hardware.platform.unix.solaris.SolarisPowerSource,class,8,11,3,8,22,2,0,7,3,0.6666667,0.0,0.0,3,2,2,1,0,0,3,0,0,0,2,2,0,2,0,0,2,0,15,92,2,0,9,2,1,16,38,48,5,32,4,0,0,0,79,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/test/java/oshi/hardware/DisplayTest.java,oshi.hardware.DisplayTest,class,3,3,0,3,2,1,0,6,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,1,2,0,2,1,0,0,0,23,0,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/software/os/mac/MacOSThread.java,oshi.software.os.mac.MacOSThread,class,3,5,2,3,9,2,0,0,22,0.77777773,0.0,0.0,9,0,9,0,0,0,9,0,0,0,7,0,0,7,0,0,7,0,0,43,7,0,0,0,0,0,6,7,0,7,0,0,0,0,24,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/oshi/oshi-core/src/main/java/oshi/driver/windows/perfmon/ProcessorInformation.java,oshi.driver.windows.perfmon.ProcessorInformation,class,7,7,0,7,11,1,0,5,15,0.8333333,0.0,0.0,6,5,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,7,82,9,0,0,0,0,0,0,1,0,1,1,0,5,0,70,17,0
