file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/rpc/PMVMaintenanceTaskRequest.java,com.starrocks.rpc.PMVMaintenanceTaskRequest,class,2,4,2,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/sql/plan/ReplayFromDumpTest.java,com.starrocks.sql.plan.ReplayFromDumpTest$Anonymous2,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/sql/plan/ReplayFromDumpTest.java,com.starrocks.sql.plan.ReplayFromDumpTest$Anonymous1,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/connector/iceberg/StarRocksIcebergTableScanContext.java,com.starrocks.connector.iceberg.StarRocksIcebergTableScanContext,class,5,8,3,5,21,1,0,0,176,0.88888884,0.0,0.0,21,0,21,0,0,0,21,0,0,0,12,0,0,12,0,0,4,0,0,81,12,0,0,0,0,0,0,12,0,12,0,0,0,0,42,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/staros/StarMgrServer.java,com.starrocks.staros.StarMgrServer$Anonymous1,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/java-extensions/hadoop-ext/src/main/java/org/apache/hadoop/fs/FileSystem.java,org.apache.hadoop.fs.FileSystem,class,71,88,17,71,306,4,0,227,19325,0.98573977,0.0,0.0,198,38,165,7,22,4,191,11,2,5,17,13,6,8,1,2,12,0,54,1724,137,10,40,14,2,132,37,119,54,98,5,6,6,2,1414,1025,24
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/sql/optimizer/rewrite/scalar/SimplifiedPredicateRuleTest.java,com.starrocks.sql.optimizer.rewrite.scalar.SimplifiedPredicateRuleTest,class,8,8,0,8,2,1,0,10,0,0.42857143,0.0,0.0,2,0,2,0,0,0,2,0,0,0,7,6,0,7,0,0,6,0,0,42,0,0,0,0,1,15,15,23,0,17,0,0,0,0,44,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/connector/hive/glue/converters/CatalogToHiveConverter.java,com.starrocks.connector.hive.glue.converters.CatalogToHiveConverter,class,35,39,4,35,63,1,0,148,210,0.95238096,0.0,0.0,21,21,20,1,0,0,20,0,0,0,2,2,0,2,0,0,2,0,22,324,34,8,28,0,6,12,6,42,6,38,3,6,1,0,115,1,1
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/monitor/jvm/JvmStats.java,com.starrocks.monitor.jvm.JvmStats$Mem,innerclass,4,4,0,4,16,1,0,10,45,0.7619047,0.0,0.0,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0,6,0,0,68,14,1,1,0,1,7,3,7,2,7,1,0,0,0,29,9,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous18,anonymous,0,0,0,0,1,1,0,4,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,9,0,0,0,0,0,0,7,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous17,anonymous,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous19,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/connector/RemoteFileOperations.java,com.starrocks.connector.RemoteFileOperations$Anonymous1,anonymous,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/sql/optimizer/base/CTEProperty.java,com.starrocks.sql.optimizer.base.CTEProperty,class,6,10,4,6,14,1,1,10,0,0.2,0.0,0.0,10,1,9,0,1,0,10,0,0,0,1,0,0,1,0,0,1,0,1,45,10,0,3,0,0,4,0,3,1,2,1,0,0,0,37,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/load/routineload/RoutineLoadJobMetaTest.java,com.starrocks.load.routineload.RoutineLoadJobMetaTest,class,11,11,0,11,3,1,0,13,3,0.6666667,0.0,0.0,3,1,3,0,0,0,3,0,0,0,2,2,0,2,0,0,0,0,0,29,0,0,0,0,0,25,12,17,1,11,0,0,0,2,65,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous10,anonymous,0,0,0,0,1,1,0,4,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,9,0,0,0,0,0,0,7,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous12,anonymous,0,0,0,0,1,1,0,4,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,9,0,0,0,0,0,0,7,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous11,anonymous,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/catalog/JDBCTableTest.java,com.starrocks.catalog.JDBCTableTest,class,14,17,3,14,15,1,0,35,0,0.48076922,0.0,0.0,13,0,11,2,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,184,2,0,0,2,0,90,12,38,1,34,1,4,0,0,50,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous14,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous13,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous16,anonymous,1,1,0,1,1,1,0,5,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,8,12,0,0,0,0,0,0,16,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/storagevolume/StorageVolume.java,com.starrocks.storagevolume.StorageVolume$StorageVolumeType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/lake/LakeTableCleanerTest.java,com.starrocks.lake.LakeTableCleanerTest$Anonymous15,anonymous,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/analysis/ColumnSeparatorTest.java,com.starrocks.analysis.ColumnSeparatorTest,class,3,3,0,3,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,38,0,11,0,3,0,0,0,0,14,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/common/util/BrokerUtilTest.java,com.starrocks.common.util.BrokerUtilTest$Anonymous2,anonymous,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/common/util/BrokerUtilTest.java,com.starrocks.common.util.BrokerUtilTest$Anonymous3,anonymous,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/sql/analyzer/ExpressionAnalyzerTest.java,com.starrocks.sql.analyzer.ExpressionAnalyzerTest,class,19,19,0,19,11,2,0,24,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,4,2,28,13,59,1,58,1,0,0,4,67,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/sql/optimizer/rule/transformation/PushDownApplyAggProjectFilterRule.java,com.starrocks.sql.optimizer.rule.transformation.PushDownApplyAggProjectFilterRule,class,9,10,1,9,4,3,0,26,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,1,0,5,14,0,15,1,0,0,1,31,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/common/util/BrokerUtilTest.java,com.starrocks.common.util.BrokerUtilTest$Anonymous1,anonymous,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/sql/ast/CreateTableLikeStmt.java,com.starrocks.sql.ast.CreateTableLikeStmt,class,9,11,2,9,15,3,1,4,63,0.81904763,0.0,0.0,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0,6,0,0,60,13,0,0,0,0,0,0,7,0,7,0,0,0,0,35,1,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/main/java/com/starrocks/sql/util/ColumnPlus.java,com.starrocks.sql.util.ColumnPlus,class,12,15,3,12,56,1,0,116,248,0.93295014,0.0,0.0,29,17,17,12,0,0,17,0,0,0,18,10,6,8,0,4,14,0,27,253,32,2,18,8,2,15,11,54,2,55,3,0,0,7,125,17,0
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/starrocks/fe/fe-core/src/test/java/com/starrocks/catalog/ExpressionRangePartitionInfoTest.java,com.starrocks.catalog.ExpressionRangePartitionInfoTest,class,29,29,0,29,31,1,0,44,0,0.5208333,0.0,0.0,18,0,18,0,0,0,18,0,0,0,8,2,0,8,0,0,0,0,21,291,0,11,2,0,0,237,32,127,4,115,2,0,0,0,146,1,0
