file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/WriterBuilder.java,org.thingsboard.client.tools.migrator.WriterBuilder,getPartitionWriter/1[java.io.File],false,78,1,1,1,0,1,5,3,1,0,1,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,16,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/WriterBuilder.java,org.thingsboard.client.tools.migrator.WriterBuilder,getTsWriter/1[java.io.File],false,60,1,1,1,0,1,5,3,1,0,1,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,18,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/WriterBuilder.java,org.thingsboard.client.tools.migrator.WriterBuilder,getLatestWriter/1[java.io.File],false,69,1,2,2,0,1,5,3,1,0,1,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,18,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/DictionaryParser.java,org.thingsboard.client.tools.migrator.DictionaryParser,getKeyByKeyId/1[java.lang.String],false,34,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/DictionaryParser.java,org.thingsboard.client.tools.migrator.DictionaryParser,DictionaryParser/1[java.io.File],true,30,1,2,1,1,1,2,3,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/DictionaryParser.java,org.thingsboard.client.tools.migrator.DictionaryParser,isBlockFinished/1[java.lang.String],false,38,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/DictionaryParser.java,org.thingsboard.client.tools.migrator.DictionaryParser,isBlockStarted/1[java.lang.String],false,42,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/DictionaryParser.java,org.thingsboard.client.tools.migrator.DictionaryParser,processBlock/1[org.thingsboard.client.tools.migrator.LineIterator],false,61,2,2,1,1,3,5,12,1,2,1,5,1,1,1,0,0,0,1,2,2,0,2,0,0,0,9,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/DictionaryParser.java,org.thingsboard.client.tools.migrator.DictionaryParser,parseDictionaryDump/1[org.thingsboard.client.tools.migrator.LineIterator],false,46,2,3,1,2,3,5,14,0,1,1,5,2,2,1,0,1,0,0,0,1,0,3,0,0,0,14,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/RelatedEntitiesParser.java,org.thingsboard.client.tools.migrator.RelatedEntitiesParser,isBlockFinished/1[java.lang.String],false,58,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/RelatedEntitiesParser.java,org.thingsboard.client.tools.migrator.RelatedEntitiesParser,processAllTables/1[org.thingsboard.client.tools.migrator.LineIterator],false,62,3,2,1,1,4,8,16,0,1,1,8,1,2,2,0,1,0,0,0,1,0,4,0,0,0,12,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/RelatedEntitiesParser.java,org.thingsboard.client.tools.migrator.RelatedEntitiesParser,"processBlock/2[org.thingsboard.client.tools.migrator.LineIterator,org.thingsboard.client.tools.migrator.EntityType]",false,78,3,2,1,1,3,6,10,1,1,2,6,1,1,1,0,0,0,1,1,1,0,2,0,0,0,9,2,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/RelatedEntitiesParser.java,org.thingsboard.client.tools.migrator.RelatedEntitiesParser,RelatedEntitiesParser/1[java.io.File],true,50,1,2,1,1,1,2,3,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/migrator/RelatedEntitiesParser.java,org.thingsboard.client.tools.migrator.RelatedEntitiesParser,getEntityType/1[java.lang.String],false,54,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/tools/src/main/java/org/thingsboard/client/tools/MqttSslClient.java,org.thingsboard.client.tools.MqttSslClient,main/1[java.lang.String[]],false,48,6,0,0,0,2,25,32,0,12,1,25,0,0,0,0,1,0,4,39,12,0,1,0,0,0,39,9,2,false
