file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/lwm2m/src/main/java/org/thingsboard/server/lwm2m/ThingsboardLwm2mTransportApplication.java,org.thingsboard.server.lwm2m.ThingsboardLwm2mTransportApplication,main/1[java.lang.String[]],false,37,1,1,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/lwm2m/src/main/java/org/thingsboard/server/lwm2m/ThingsboardLwm2mTransportApplication.java,org.thingsboard.server.lwm2m.ThingsboardLwm2mTransportApplication,updateArguments/1[java.lang.String[]],false,41,0,1,1,0,2,4,9,2,2,1,4,0,0,0,0,0,0,0,3,2,1,1,0,0,1,25,10,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/mqtt/src/main/java/org/thingsboard/server/mqtt/ThingsboardMqttTransportApplication.java,org.thingsboard.server.mqtt.ThingsboardMqttTransportApplication,main/1[java.lang.String[]],false,37,1,1,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/mqtt/src/main/java/org/thingsboard/server/mqtt/ThingsboardMqttTransportApplication.java,org.thingsboard.server.mqtt.ThingsboardMqttTransportApplication,updateArguments/1[java.lang.String[]],false,41,0,1,1,0,2,4,9,2,2,1,4,0,0,0,0,0,0,0,3,2,1,1,0,0,1,25,10,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/http/src/main/java/org/thingsboard/server/http/ThingsboardHttpTransportApplication.java,org.thingsboard.server.http.ThingsboardHttpTransportApplication,updateArguments/1[java.lang.String[]],false,39,0,1,1,0,2,4,9,2,2,1,4,0,0,0,0,0,0,0,3,2,1,1,0,0,1,25,10,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/http/src/main/java/org/thingsboard/server/http/ThingsboardHttpTransportApplication.java,org.thingsboard.server.http.ThingsboardHttpTransportApplication,main/1[java.lang.String[]],false,35,1,1,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/coap/src/main/java/org/thingsboard/server/coap/ThingsboardCoapTransportApplication.java,org.thingsboard.server.coap.ThingsboardCoapTransportApplication,main/1[java.lang.String[]],false,37,1,1,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/coap/src/main/java/org/thingsboard/server/coap/ThingsboardCoapTransportApplication.java,org.thingsboard.server.coap.ThingsboardCoapTransportApplication,updateArguments/1[java.lang.String[]],false,41,0,1,1,0,2,4,9,2,2,1,4,0,0,0,0,0,0,0,3,2,1,1,0,0,1,25,10,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/snmp/src/main/java/org/thingsboard/server/snmp/ThingsboardSnmpTransportApplication.java,org.thingsboard.server.snmp.ThingsboardSnmpTransportApplication,main/1[java.lang.String[]],false,37,1,1,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/home/carlos/Documentos/faculdade/LES/LAB02/repositorios_clonados/thingsboard/transport/snmp/src/main/java/org/thingsboard/server/snmp/ThingsboardSnmpTransportApplication.java,org.thingsboard.server.snmp.ThingsboardSnmpTransportApplication,updateArguments/1[java.lang.String[]],false,41,0,1,1,0,2,4,9,2,2,1,4,0,0,0,0,0,0,0,3,2,1,1,0,0,1,25,10,0,false
