number,changedFiles,additions,deletions,createdAt,closedAt,mergedAt,body,participants,totalCommentsCount
{2},{2},{100},{1},{'2014-12-24T20:43:10Z'},{'2014-12-27T06:16:17Z'},{'2014-12-27T06:16:17Z'},{''},{3},{2}
{5},{10},{122},{106},{'2014-12-31T04:48:02Z'},{'2014-12-31T04:48:08Z'},{'2014-12-31T04:48:08Z'},{''},{1},{0}
{7},{2},{51},{42},{'2014-12-31T05:35:50Z'},{'2015-01-20T17:29:39Z'},{None},{'Refactor passport to conform to jshint settings.\nRemove html extension on FCC links in challenge \n\nfixes https://github.com/FreeCodeCamp/freecodecamp/issues/6 \n'},{1},{0}
{8},{38},{61466},{34},{'2015-01-06T07:31:40Z'},{'2015-01-06T07:33:03Z'},{'2015-01-06T07:33:03Z'},{''},{2},{0}
{9},{76},{64419},{3594},{'2015-01-09T06:34:30Z'},{'2015-01-09T06:34:47Z'},{'2015-01-09T06:34:47Z'},{''},{2},{0}
{10},{1},{2},{2},{'2015-01-09T15:55:49Z'},{'2015-01-09T18:58:45Z'},{'2015-01-09T18:58:45Z'},"{""I know I entered massage therapist as most recent job on the initial form,\nbut that was two years ago. Plus, afterwards, I realized that writing a book for\na publisher counts as most recent job (I forget about freelance stuff sometimes)!\nAlso removed part about Hypercard because I figure most code campers\nwon't know what I was referring to.\n""}",{2},{0}
{12},{1},{2},{2},{'2015-01-09T20:25:01Z'},{'2015-01-10T04:33:39Z'},{None},"{""The profile picture pulled from twitter with `profile_image_url_https` will have `_normal.png` attached to the end of the url. According to the [Twitter Docs](https://dev.twitter.com/overview/general/user-profile-images-and-banners), normal = 48x48px (too small for the new bio pages).\n\nI removed the last 11 characters ('_normal.png') and then added the `.png` back. I'm sure there is more elegant way to do it.\n""}",{2},{1}
{13},{10},{461},{433},{'2015-01-10T03:10:26Z'},{'2015-01-10T04:31:13Z'},{None},{'Fixes email signup/signin issues and angularizes the email signup form. Also adds unique username check to profile.jade.\n'},{1},{0}
{14},{10},{461},{433},{'2015-01-10T04:32:22Z'},{'2015-01-10T04:33:57Z'},{'2015-01-10T04:33:57Z'},"{'Solve email login issues, angularize forms to extreme measures, prettify and give feedback in real time.\n'}",{2},{0}
{16},{1},{3},{3},{'2015-01-10T05:23:28Z'},{'2015-01-10T18:56:01Z'},{'2015-01-10T18:56:01Z'},{''},{2},{1}
