name,owner
freeCodeCamp,freeCodeCamp
free-programming-books,EbookFoundation
awesome,sindresorhus
public-apis,public-apis
coding-interview-university,jwasham
build-your-own-x,codecrafters-io
developer-roadmap,kamranahmedse
system-design-primer,donnemartin
996.ICU,996icu
react,facebook
awesome-python,vinta
vue,vuejs
project-based-learning,practical-tutorials
awesome-selfhosted,awesome-selfhosted
javascript-algorithms,trekhleb
tensorflow,tensorflow
Python,TheAlgorithms
linux,torvalds
You-Dont-Know-JS,getify
CS-Notes,CyC2018
ohmyzsh,ohmyzsh
computer-science,ossu
bootstrap,twbs
AutoGPT,Significant-Gravitas
flutter,flutter
vscode,microsoft
gitignore,github
Python-100-Days,jackfrued
the-art-of-command-line,jlevy
JavaGuide,Snailclimb
the-book-of-secret-knowledge,trimstray
javascript,airbnb
stable-diffusion-webui,AUTOMATIC1111
transformers,huggingface
youtube-dl,ytdl-org
awesome-go,avelino
next.js,vercel
fucking-algorithm,labuladong
go,golang
30-seconds-of-code,Chalarangelo
react-native,facebook
tech-interview-handbook,yangshun
electron,electron
free-programming-books-zh_CN,justjavac
awesome-chatgpt-prompts,f
kubernetes,kubernetes
PowerToys,microsoft
scrcpy,Genymobile
d3,d3
node,nodejs
axios,axios
create-react-app,facebook
three.js,mrdoob
TypeScript,microsoft
nodebestpractices,goldbergyoni
GitHub-Chinese-Top-Charts,GrowingGit
Microsoft-Activation-Scripts,massgravel
rust,rust-lang
hello-algo,krahets
angular,angular
terminal,microsoft
deno,denoland
material-ui,mui
langchain,langchain-ai
ant-design,ant-design
ollama,ollama
clean-code-javascript,ryanmcdermott
HelloGitHub,521xueweihan
godot,godotengine
java-design-patterns,iluwatar
free-for-dev,ripienaar
puppeteer,puppeteer
vue-element-admin,PanJiaChen
papers-we-love,papers-we-love
frp,fatedier
thefuck,nvbn
iptv,iptv-org
storybook,storybookjs
yt-dlp,yt-dlp
Awesome-Hacking,Hack-with-Github
Web-Dev-For-Beginners,microsoft
every-programmer-should-know,mtdvio
pytorch,pytorch
tauri,tauri-apps
tailwindcss,tailwindlabs
neovim,neovim
excalidraw,excalidraw
animate.css,animate-css
realworld,gothinkster
app-ideas,florinpop17
django,django
nvm,nvm-sh
bitcoin,bitcoin
svelte,sveltejs
laravel,laravel
opencv,opencv
gin,gin-gonic
mall,macrozheng
models,tensorflow
FiraCode,tonsky
fastapi,fastapi
advanced-java,doocs
awesome-mac,jaywcjlove
ChatGPT-Next-Web,ChatGPTNextWeb
LeetCodeAnimation,MisterBooo
hugo,gohugoio
spring-boot,spring-projects
Font-Awesome,FortAwesome
rustdesk,rustdesk
bun,oven-sh
json-server,typicode
supabase,supabase
awesome-vue,vuejs
core,home-assistant
netdata,netdata
mermaid,mermaid-js
ui,shadcn-ui
awesome-interview-questions,DopplerHQ
elasticsearch,elastic
gpt4all,nomic-ai
ML-For-Beginners,microsoft
Front-End-Checklist,thedaviddias
github-readme-stats,anuraghazra
moby,moby
whisper,openai
node,base-org
awesome-for-beginners,MunGell
funNLP,fighting41love
code-server,coder
stable-diffusion,CompVis
flask,pallets
v2rayN,2dust
reveal.js,hakimel
vite,vitejs
swift,swiftlang
nest,nestjs
HowToCook,Anduin2017
cs-video-courses,Developer-Y
redis,redis
devops-exercises,bregman-arie
playwright,microsoft
llama.cpp,ggerganov
awesome-machine-learning,josephmisiti
protobuf,protocolbuffers
express,expressjs
awesome-react,enaqx
webpack,webpack
Chart.js,chartjs
gpt_academic,binary-husky
syncthing,syncthing
fzf,junegunn
grafana,grafana
hoppscotch,hoppscotch
interviews,kdn251
system-design-101,ByteByteGoHq
33-js-concepts,leonardomso
strapi,strapi
manim,3b1b
sway,FuelLabs
cpython,python
javascript-questions,lydiahallie
ansible,ansible
generative-ai-for-beginners,microsoft
the-algorithm,twitter
superset,apache
Ventoy,ventoy
resume.github.com,resume
d2l-zh,d2l-ai
keras,keras-team
tesseract,tesseract-ocr
Best-websites-a-programmer-should-visit,sdmg15
socket.io,socketio
redux,reduxjs
nocode,kelseyhightower
PayloadsAllTheThings,swisskyrepo
awesome-public-datasets,awesomedata
echarts,apache
gpt4free,xtekky
atom,atom
imgui,ocornut
architect-awesome,xingshaocheng
lodash,lodash
markdown-here,adam-p
scikit-learn,scikit-learn
Front-end-Developer-Interview-Questions,h5bp
sherlock,sherlock-project
jquery,jquery
obs-studio,obsproject
awesome-cpp,fffaraz
Java,TheAlgorithms
angular.js,angular
openai-cookbook,openai
tabby,Eugeny
design-resources-for-developers,bradtraversy
awesome-scalability,binhnguyennus
shadowsocks-windows,shadowsocks
fuel-core,FuelLabs
awesome-nodejs,sindresorhus
Apollo-11,chrislgarry
caddy,caddyserver
